Expenditure category,RelativeimportanceDec.2014,Jan.2014,Dec.2014,Jan.2015,Jan.2014-Jan.2015,Dec.2014-Jan.2015,Oct.2014-Nov.2014,Nov.2014-Dec.2014,Dec.2014-Jan.2015
All items,100.000,233.916,234.812,233.707,-0.1,-0.5,-0.3,-0.3,-0.7
Food,14.257,238.872,245.976,246.538,3.2,0.2,0.2,0.2,0.0
Food at home,8.427,235.356,242.457,243.123,3.3,0.3,0.1,0.2,-0.2
Cereals and bakery products,1.138,271.151,270.635,273.589,0.9,1.1,-0.1,0.2,0.7
"Meats, poultry, fish, and eggs",2.014,240.158,261.055,260.982,8.7,0.0,0.7,0.4,-0.1
Dairy and related products(1),0.898,219.362,229.870,227.800,3.8,-0.9,-0.2,0.6,-0.9
Fruits and vegetables,1.379,292.095,297.429,298.781,2.3,0.5,-0.7,0.3,-0.9
Nonalcoholic beverages and beverage materials,0.955,167.039,166.978,168.603,0.9,1.0,0.5,-0.4,0.1
Other food at home,2.043,204.575,206.831,207.218,1.3,0.2,0.2,0.2,-0.1
Food away from home(1),5.830,245.481,252.628,253.037,3.1,0.2,0.4,0.3,0.2
Energy,8.030,239.551,209.785,192.619,-19.6,-8.2,-4.1,-4.7,-9.7
Energy commodities,4.215,294.165,230.195,192.221,-34.7,-16.5,-7.0,-9.0,-18.0
Fuel oil(1),0.139,389.522,303.844,273.718,-29.7,-9.9,-3.5,-7.8,-9.9
Motor fuel,3.979,288.268,225.165,186.763,-35.2,-17.1,-7.2,-9.2,-18.6
Gasoline (all types),3.904,286.607,223.404,185.142,-35.4,-17.1,-7.2,-9.2,-18.7
Energy services(2),3.815,197.919,199.592,201.594,1.9,1.0,-0.3,0.8,-0.1
Electricity(2),2.940,203.026,204.275,208.172,2.5,1.9,0.0,0.6,0.9
Utility (piped) gas service(2),0.875,179.982,182.908,179.184,-0.4,-2.0,-1.3,1.4,-3.4
All items less food and energy,77.713,235.367,238.775,239.248,1.6,0.2,0.1,0.1,0.2
Commodities less food and energy commodities,19.408,146.025,145.127,144.865,-0.8,-0.2,-0.3,-0.2,-0.1
Apparel,3.343,124.275,123.942,122.527,-1.4,-1.1,-0.7,-0.8,0.3
New vehicles,3.551,145.880,146.524,146.558,0.5,0.0,0.0,0.0,-0.1
Used cars and trucks,1.591,147.386,141.957,141.461,-4.0,-0.3,-0.9,-0.8,-0.1
Medical care commodities,1.772,336.756,349.750,349.980,3.9,0.1,0.6,0.9,-0.3
Alcoholic beverages,1.015,236.340,238.856,238.718,1.0,-0.1,0.6,-0.3,-0.3
Tobacco and smoking products,0.718,896.539,916.707,917.733,2.4,0.1,0.3,0.4,-0.2
Services less energy services,58.305,289.779,296.021,296.979,2.5,0.3,0.2,0.2,0.3
Shelter,32.711,266.754,273.598,274.589,2.9,0.4,0.2,0.2,0.3
Rent of primary residence(2),7.159,272.317,280.874,281.572,3.4,0.2,0.3,0.2,0.2
Owners' equivalent rent of residences(2)(3),24.339,274.740,281.288,281.980,2.6,0.2,0.2,0.2,0.2
Medical care services,5.944,459.618,468.393,470.030,2.3,0.3,0.3,0.3,0.1
Physicians' services(2),1.590,356.796,361.659,362.740,1.7,0.3,0.4,0.2,0.1
Hospital services(2)(4),1.853,272.485,282.547,284.225,4.3,0.6,0.3,0.5,0.2
Transportation services,5.625,280.687,286.585,286.644,2.1,0.0,0.2,0.0,0.4
Motor vehicle maintenance and repair(1),1.168,263.718,268.588,268.869,2.0,0.1,0.1,0.1,0.1
Motor vehicle insurance,2.300,429.585,448.933,451.007,5.0,0.5,0.3,0.3,0.6
Airline fare,0.702,291.836,287.175,283.152,-3.0,-1.4,-0.2,-2.0,-0.3
