Expenditure category,RelativeimportanceJul.2015,Aug.2014,Jul.2015,Aug.2015,Aug.2014-Aug.2015,Jul.2015-Aug.2015,May2015-Jun.2015,Jun.2015-Jul.2015,Jul.2015-Aug.2015
All items,100.000,237.852,238.654,238.316,0.2,-0.1,0.3,0.1,-0.1
Food,14.086,243.811,247.003,247.671,1.6,0.3,0.3,0.2,0.2
Food at home,8.275,240.723,241.993,242.746,0.8,0.3,0.4,0.3,0.3
Cereals and bakery products,1.140,272.108,275.526,274.968,1.1,-0.2,0.5,0.2,-0.1
"Meats, poultry, fish, and eggs",1.986,258.416,261.639,263.601,2.0,0.7,1.4,0.2,0.5
Dairy and related products(1),0.852,226.390,221.443,220.716,-2.5,-0.3,-0.6,0.8,-0.3
Fruits and vegetables,1.313,291.169,287.816,291.344,0.1,1.2,-0.4,0.3,1.5
Nonalcoholic beverages and beverage materials,0.942,165.613,167.421,168.017,1.5,0.4,0.1,0.4,0.1
Other food at home,2.043,207.271,210.251,209.892,1.3,-0.2,0.3,0.2,-0.2
Food away from home(1),5.811,249.801,255.905,256.449,2.7,0.2,0.2,0.0,0.2
Energy,8.280,250.951,219.852,213.248,-15.0,-3.0,1.7,0.1,-2.0
Energy commodities,4.450,305.858,246.977,233.619,-23.6,-5.4,3.1,0.7,-4.1
Fuel oil(1),0.116,363.420,258.620,237.580,-34.6,-8.1,-1.9,-3.4,-8.1
Motor fuel,4.253,302.101,244.584,231.305,-23.4,-5.4,3.3,0.8,-4.1
Gasoline (all types),4.191,300.640,243.736,230.513,-23.3,-5.4,3.4,0.9,-4.1
Energy services(2),3.830,209.547,203.674,203.246,-3.0,-0.2,0.2,-0.6,0.5
Electricity(2),3.064,217.148,216.406,215.786,-0.6,-0.3,0.2,-0.4,0.3
Utility (piped) gas service(2),0.766,183.960,162.733,162.885,-11.5,0.1,0.3,-1.4,1.2
All items less food and energy,77.634,238.296,242.436,242.651,1.8,0.1,0.2,0.1,0.1
Commodities less food and energy commodities,19.174,146.519,145.722,145.808,-0.5,0.1,-0.1,-0.1,-0.1
Apparel,3.254,125.726,122.607,124.547,-0.9,1.6,-0.1,0.3,0.3
New vehicles,3.508,145.873,147.154,146.704,0.6,-0.3,0.1,-0.2,0.0
Used cars and trucks,1.666,153.277,151.119,150.908,-1.5,-0.1,-0.4,-0.6,-0.4
Medical care commodities,1.771,344.755,355.235,356.334,3.4,0.3,0.0,0.1,0.3
Alcoholic beverages,1.000,237.829,239.092,239.313,0.6,0.1,-0.2,0.0,0.1
Tobacco and smoking products,0.721,904.961,935.913,939.082,3.8,0.3,0.8,0.0,0.5
Services less energy services,58.460,294.284,301.665,301.963,2.6,0.1,0.3,0.2,0.1
Shelter,32.886,271.675,279.559,280.093,3.1,0.2,0.3,0.4,0.2
Rent of primary residence(2),7.174,277.048,286.090,287.068,3.6,0.3,0.4,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.367,278.621,286.220,287.026,3.0,0.3,0.4,0.3,0.2
Medical care services,5.943,464.936,475.956,475.189,2.2,-0.2,-0.2,0.1,0.0
Physicians' services(2),1.590,359.967,367.450,366.365,1.8,-0.3,0.2,0.2,-0.3
Hospital services(2)(4),1.864,278.608,288.895,288.181,3.4,-0.2,-1.1,-0.1,0.3
Transportation services,5.641,283.786,292.119,289.798,2.1,-0.8,0.4,-0.2,-0.3
Motor vehicle maintenance and repair(1),1.160,266.129,271.175,270.838,1.8,-0.1,0.1,0.1,-0.1
Motor vehicle insurance,2.319,437.384,460.041,461.046,5.4,0.2,0.3,0.6,0.2
Airline fare,0.715,295.609,297.324,277.768,-6.0,-6.6,2.0,-5.6,-3.1
