Expenditure category,RelativeimportanceApr.2015,May2014,Apr.2015,May2015,May2014-May2015,Apr.2015-May2015,Feb.2015-Mar.2015,Mar.2015-Apr.2015,Apr.2015-May2015
All items,100.000,237.900,236.599,237.805,0.0,0.5,0.2,0.1,0.4
Food,14.157,242.344,246.121,246.187,1.6,0.0,-0.2,0.0,0.0
Food at home,8.323,239.504,241.305,241.019,0.6,-0.1,-0.5,-0.2,-0.2
Cereals and bakery products,1.141,271.362,273.366,273.595,0.8,0.1,0.4,-0.3,-0.1
"Meats, poultry, fish, and eggs",1.983,251.825,258.991,257.106,2.1,-0.7,-0.5,-0.7,-0.5
Dairy and related products(1),0.864,225.491,222.691,221.039,-2.0,-0.7,-0.5,-0.8,-0.7
Fruits and vegetables,1.335,298.626,290.178,293.011,-1.9,1.0,-1.4,0.2,0.3
Nonalcoholic beverages and beverage materials,0.956,164.640,168.401,166.795,1.3,-1.0,-0.6,0.5,-0.2
Other food at home,2.045,205.866,208.648,209.272,1.7,0.3,-0.1,0.1,0.1
Food away from home(1),5.834,247.952,254.727,255.322,3.0,0.2,0.2,0.2,0.2
Energy,7.739,255.982,203.715,214.330,-16.3,5.2,1.1,-1.3,4.3
Energy commodities,4.011,322.394,220.732,242.315,-24.8,9.8,3.8,-1.9,9.6
Fuel oil(1),0.123,376.855,270.850,272.874,-27.6,0.7,5.9,-8.4,0.7
Motor fuel,3.799,318.840,216.595,239.141,-25.0,10.4,3.9,-1.7,10.2
Gasoline (all types),3.737,317.434,215.461,238.170,-25.0,10.5,3.9,-1.7,10.4
Energy services(2),3.727,203.781,196.502,197.083,-3.3,0.3,-1.5,-0.5,-1.0
Electricity(2),2.945,206.715,206.179,207.683,0.5,0.7,-1.1,0.0,-1.2
Utility (piped) gas service(2),0.783,192.303,164.839,162.639,-15.4,-1.3,-2.7,-2.6,0.0
All items less food and energy,78.104,238.029,241.802,242.119,1.7,0.1,0.2,0.3,0.1
Commodities less food and energy commodities,19.550,147.454,147.303,147.014,-0.3,-0.2,0.3,0.1,-0.1
Apparel,3.443,128.963,128.593,127.083,-1.5,-1.2,0.5,-0.3,-0.5
New vehicles,3.556,146.708,147.844,147.889,0.8,0.0,0.2,0.1,0.2
Used cars and trucks,1.666,151.441,149.788,150.713,-0.5,0.6,1.2,0.6,-0.4
Medical care commodities,1.782,341.432,354.339,354.647,3.9,0.1,0.1,0.1,0.4
Alcoholic beverages,1.009,236.894,239.237,239.800,1.2,0.2,0.2,0.0,0.2
Tobacco and smoking products,0.713,898.143,917.843,920.372,2.5,0.3,0.4,0.0,0.4
Services less energy services,58.553,293.208,299.544,300.264,2.4,0.2,0.2,0.3,0.2
Shelter,32.865,269.766,276.978,277.563,2.9,0.2,0.3,0.3,0.2
Rent of primary residence(2),7.174,274.710,283.598,284.245,3.5,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.381,276.748,283.920,284.473,2.8,0.2,0.3,0.3,0.3
Medical care services,5.997,465.014,476.163,476.800,2.5,0.1,0.4,0.9,0.2
Physicians' services(2),1.593,359.547,365.146,365.214,1.6,0.0,0.6,0.5,0.1
Hospital services(2)(4),1.899,278.568,291.775,292.257,4.9,0.2,0.6,1.9,0.5
Transportation services,5.648,288.627,289.971,292.994,1.5,1.0,0.0,0.1,0.7
Motor vehicle maintenance and repair(1),1.165,265.013,269.948,270.764,2.2,0.3,-0.1,0.4,0.3
Motor vehicle insurance,2.322,434.934,456.564,456.995,5.1,0.1,0.5,0.4,0.2
Airline fare,0.714,341.947,294.603,319.401,-6.6,8.4,-1.7,-1.3,5.7
