Expenditure category,RelativeimportanceAug.2015,Sep.2014,Aug.2015,Sep.2015,Sep.2014-Sep.2015,Aug.2015-Sep.2015,Jun.2015-Jul.2015,Jul.2015-Aug.2015,Aug.2015-Sep.2015
All items,100.000,238.031,238.316,237.945,0.0,-0.2,0.1,-0.1,-0.2
Food,14.144,244.630,247.671,248.632,1.6,0.4,0.2,0.2,0.4
Food at home,8.313,241.578,242.746,243.432,0.8,0.3,0.3,0.3,0.3
Cereals and bakery products,1.139,270.660,274.968,273.530,1.1,-0.5,0.2,-0.1,-0.2
"Meats, poultry, fish, and eggs",2.004,260.805,263.601,263.227,0.9,-0.1,0.2,0.5,-0.3
Dairy and related products(1),0.850,227.604,220.716,222.310,-2.3,0.7,0.8,-0.3,0.7
Fruits and vegetables,1.331,293.282,291.344,295.394,0.7,1.4,0.3,1.5,0.7
Nonalcoholic beverages and beverage materials,0.947,166.080,168.017,168.054,1.2,0.0,0.4,0.1,-0.1
Other food at home,2.042,207.287,209.892,210.659,1.6,0.4,0.2,-0.2,0.8
Food away from home(1),5.831,250.570,256.449,257.830,2.9,0.5,0.0,0.2,0.5
Energy,8.042,247.077,213.248,201.641,-18.4,-5.4,0.1,-2.0,-4.7
Energy commodities,4.215,299.558,233.619,211.099,-29.5,-9.6,0.7,-4.1,-8.6
Fuel oil(1),0.107,355.892,237.580,231.835,-34.9,-2.4,-3.4,-8.1,-2.4
Motor fuel,4.028,295.716,231.305,208.121,-29.6,-10.0,0.8,-4.1,-8.9
Gasoline (all types),3.969,294.222,230.513,207.239,-29.6,-10.1,0.9,-4.1,-9.0
Energy services(2),3.828,207.824,203.246,201.575,-3.0,-0.8,-0.6,0.5,-0.4
Electricity(2),3.060,215.054,215.786,214.132,-0.4,-0.8,-0.4,0.3,-0.5
Utility (piped) gas service(2),0.768,183.376,162.885,161.189,-12.1,-1.0,-1.4,1.2,-0.3
All items less food and energy,77.814,238.841,242.651,243.359,1.9,0.3,0.1,0.1,0.2
Commodities less food and energy commodities,19.213,147.268,145.808,146.500,-0.5,0.5,-0.1,-0.1,0.0
Apparel,3.310,130.324,124.547,128.540,-1.4,3.2,0.3,0.3,-0.3
New vehicles,3.503,145.880,146.704,146.570,0.5,-0.1,-0.2,0.0,-0.1
Used cars and trucks,1.666,151.153,150.908,148.520,-1.7,-1.6,-0.6,-0.4,-0.2
Medical care commodities,1.779,346.347,356.334,355.746,2.7,-0.2,0.1,0.3,-0.2
Alcoholic beverages,1.002,237.828,239.313,239.287,0.6,0.0,0.0,0.1,0.1
Tobacco and smoking products,0.725,904.487,939.082,938.348,3.7,-0.1,0.0,0.5,-0.1
Services less energy services,58.601,294.676,301.963,302.663,2.7,0.2,0.2,0.1,0.3
Shelter,32.995,272.165,280.093,280.814,3.2,0.3,0.4,0.2,0.3
Rent of primary residence(2),7.209,277.998,287.068,288.306,3.7,0.4,0.3,0.3,0.4
Owners' equivalent rent of residences(2)(3),24.470,279.292,287.026,287.916,3.1,0.3,0.3,0.2,0.3
Medical care services,5.941,465.403,475.189,476.466,2.4,0.3,0.1,0.0,0.3
Physicians' services(2),1.587,359.879,366.365,367.176,2.0,0.2,0.2,-0.3,0.3
Hospital services(2)(4),1.862,279.540,288.181,289.134,3.4,0.3,-0.1,0.3,0.2
Transportation services,5.604,283.425,289.798,289.576,2.2,-0.1,-0.2,-0.3,0.1
Motor vehicle maintenance and repair(1),1.161,267.256,270.838,271.119,1.4,0.1,0.1,-0.1,0.1
Motor vehicle insurance,2.328,438.496,461.046,462.467,5.5,0.3,0.6,0.2,0.5
Airline fare,0.669,292.397,277.768,274.897,-6.0,-1.0,-5.6,-3.1,-0.1
