Expenditure category,RelativeimportanceSep.2015,Oct.2014,Sep.2015,Oct.2015,Oct.2014-Oct.2015,Sep.2015-Oct.2015,Jul.2015-Aug.2015,Aug.2015-Sep.2015,Sep.2015-Oct.2015
All items,100.000,237.433,237.945,237.838,0.2,0.0,-0.1,-0.2,0.2
Food,14.221,245.166,248.632,249.052,1.6,0.2,0.2,0.4,0.1
Food at home,8.349,242.121,243.432,243.779,0.7,0.1,0.3,0.3,0.1
Cereals and bakery products,1.135,271.313,273.530,275.753,1.6,0.8,-0.1,-0.2,0.8
"Meats, poultry, fish, and eggs",2.004,259.840,263.227,261.568,0.7,-0.6,0.5,-0.3,-0.5
Dairy and related products(1),0.857,228.831,222.310,221.874,-3.0,-0.2,-0.3,0.7,-0.2
Fruits and vegetables,1.351,297.528,295.394,297.931,0.1,0.9,1.5,0.7,0.5
Nonalcoholic beverages and beverage materials,0.949,167.350,168.054,169.045,1.0,0.6,0.1,-0.1,0.2
Other food at home,2.053,206.460,210.659,210.636,2.0,0.0,-0.2,0.8,0.1
Food away from home(1),5.872,251.100,257.830,258.363,2.9,0.2,0.2,0.5,0.2
Energy,7.617,234.745,201.641,194.501,-17.1,-3.5,-2.0,-4.7,0.3
Energy commodities,3.814,281.453,211.099,203.338,-27.8,-3.7,-4.1,-8.6,0.4
Fuel oil(1),0.105,341.771,231.835,229.191,-32.9,-1.1,-8.1,-2.4,-1.1
Motor fuel,3.630,277.290,208.121,199.996,-27.9,-3.9,-4.1,-8.9,0.4
Gasoline (all types),3.574,275.729,207.239,199.077,-27.8,-3.9,-4.1,-9.0,0.4
Energy services(2),3.802,200.471,201.575,194.713,-2.9,-3.4,0.5,-0.4,0.2
Electricity(2),3.041,206.667,214.132,205.604,-0.5,-4.0,0.3,-0.5,0.4
Utility (piped) gas service(2),0.761,179.226,161.189,159.422,-11.0,-1.1,1.2,-0.3,-0.7
All items less food and energy,78.162,239.413,243.359,243.985,1.9,0.3,0.1,0.2,0.2
Commodities less food and energy commodities,19.334,147.542,146.500,146.504,-0.7,0.0,-0.1,0.0,-0.1
Apparel,3.422,131.961,128.540,129.446,-1.9,0.7,0.3,-0.3,-0.8
New vehicles,3.505,146.306,146.570,146.516,0.1,0.0,0.0,-0.1,-0.2
Used cars and trucks,1.643,147.893,148.520,145.821,-1.4,-1.8,-0.4,-0.2,-0.3
Medical care commodities,1.779,346.324,355.746,355.894,2.8,0.0,0.3,-0.2,0.2
Alcoholic beverages,1.003,238.045,239.287,240.656,1.1,0.6,0.1,0.1,0.6
Tobacco and smoking products,0.725,909.872,938.348,940.901,3.4,0.3,0.5,-0.1,0.4
Services less energy services,58.829,295.434,302.663,303.694,2.8,0.3,0.1,0.3,0.3
Shelter,33.132,272.788,280.814,281.499,3.2,0.2,0.2,0.3,0.3
Rent of primary residence(2),7.251,278.985,288.306,289.428,3.7,0.4,0.3,0.4,0.3
Owners' equivalent rent of residences(2)(3),24.585,280.046,287.916,288.700,3.1,0.3,0.2,0.3,0.2
Medical care services,5.967,466.038,476.466,480.245,3.0,0.8,0.0,0.3,0.8
Physicians' services(2),1.593,359.855,367.176,366.652,1.9,-0.1,-0.3,0.3,0.0
Hospital services(2)(4),1.871,280.496,289.134,295.282,5.3,2.1,0.3,0.2,2.0
Transportation services,5.609,286.691,289.576,291.969,1.8,0.8,-0.3,0.1,0.2
Motor vehicle maintenance and repair(1),1.164,268.094,271.119,271.804,1.4,0.3,-0.1,0.1,0.3
Motor vehicle insurance,2.338,444.443,462.467,465.401,4.7,0.6,0.2,0.5,-0.2
Airline fare,0.663,301.466,274.897,285.837,-5.2,4.0,-3.1,-0.1,1.5
