Expenditure category,RelativeimportanceJan.2015,Feb.2014,Jan.2015,Feb.2015,Feb.2014-Feb.2015,Jan.2015-Feb.2015,Nov.2014-Dec.2014,Dec.2014-Jan.2015,Jan.2015-Feb.2015
All items,100.000,234.781,233.707,234.722,0.0,0.4,-0.3,-0.7,0.2
Food,14.357,239.608,246.538,246.680,3.0,0.1,0.2,0.0,0.2
Food at home,8.490,236.114,243.123,242.906,2.9,-0.1,0.2,-0.2,0.1
Cereals and bakery products,1.156,270.583,273.589,273.052,0.9,-0.2,0.2,0.7,-0.2
"Meats, poultry, fish, and eggs",2.023,242.386,260.982,260.863,7.6,0.0,0.4,-0.1,0.3
Dairy and related products(1),0.895,220.861,227.800,225.535,2.1,-1.0,0.6,-0.9,-1.0
Fruits and vegetables,1.391,292.540,298.781,295.686,1.1,-1.0,0.3,-0.9,-0.3
Nonalcoholic beverages and beverage materials,0.969,165.980,168.603,168.901,1.8,0.2,-0.4,0.1,0.6
Other food at home,2.056,205.554,207.218,208.954,1.7,0.8,0.2,-0.1,0.5
Food away from home(1),5.867,246.187,253.037,253.719,3.1,0.3,0.3,0.2,0.3
Energy,7.408,242.041,192.619,196.597,-18.8,2.1,-4.7,-9.7,1.0
Energy commodities,3.536,298.403,192.221,201.485,-32.5,4.8,-9.0,-18.0,2.1
Fuel oil(1),0.126,405.344,273.718,279.040,-31.2,1.9,-7.8,-9.9,1.9
Motor fuel,3.316,291.512,186.763,196.272,-32.7,5.1,-9.2,-18.6,2.2
Gasoline (all types),3.251,289.814,185.142,194.883,-32.8,5.3,-9.2,-18.7,2.4
Energy services(2),3.871,198.846,201.594,200.685,0.9,-0.5,0.8,-0.1,-0.2
Electricity(2),3.010,202.224,208.172,208.696,3.2,0.3,0.6,0.9,0.3
Utility (piped) gas service(2),0.862,186.095,179.184,173.978,-6.5,-2.9,1.4,-3.4,-2.0
All items less food and energy,78.235,236.075,239.248,240.083,1.7,0.3,0.1,0.2,0.2
Commodities less food and energy commodities,19.465,146.509,144.865,145.761,-0.5,0.6,-0.2,-0.1,0.2
Apparel,3.321,125.493,122.527,124.457,-0.8,1.6,-0.8,0.3,0.3
New vehicles,3.568,146.421,146.558,147.345,0.6,0.5,0.0,-0.1,0.2
Used cars and trucks,1.593,147.616,141.461,143.390,-2.9,1.4,-0.8,-0.1,1.0
Medical care commodities,1.782,340.067,349.980,353.484,3.9,1.0,0.9,-0.3,0.7
Alcoholic beverages,1.019,236.314,238.718,239.269,1.3,0.2,-0.3,-0.3,0.0
Tobacco and smoking products,0.722,895.290,917.733,918.602,2.6,0.1,0.4,-0.2,0.5
Services less energy services,58.770,290.621,296.979,297.750,2.5,0.3,0.2,0.3,0.1
Shelter,32.985,267.418,274.589,275.390,3.0,0.3,0.2,0.3,0.2
Rent of primary residence(2),7.210,272.733,281.572,282.389,3.5,0.3,0.2,0.2,0.3
Owners' equivalent rent of residences(2)(3),24.514,275.185,281.980,282.579,2.7,0.2,0.2,0.2,0.2
Medical care services,5.993,462.648,470.030,471.138,1.8,0.2,0.3,0.1,-0.2
Physicians' services(2),1.603,356.939,362.740,361.242,1.2,-0.4,0.2,0.1,-0.4
Hospital services(2)(4),1.872,276.555,284.225,286.308,3.5,0.7,0.5,0.2,-0.2
Transportation services,5.653,281.759,286.644,287.914,2.2,0.4,0.0,0.4,0.3
Motor vehicle maintenance and repair(1),1.175,264.523,268.869,269.136,1.7,0.1,0.1,0.1,0.1
Motor vehicle insurance,2.322,430.310,451.007,454.335,5.6,0.7,0.3,0.6,0.9
Airline fare,0.695,297.679,283.152,288.626,-3.0,1.9,-2.0,-0.3,0.2
