Expenditure category,RelativeimportanceJun.2015,Jul.2014,Jun.2015,Jul.2015,Jul.2014-Jul.2015,Jun.2015-Jul.2015,Apr.2015-May2015,May2015-Jun.2015,Jun.2015-Jul.2015
All items,100.000,238.250,238.638,238.654,0.2,0.0,0.4,0.3,0.1
Food,14.068,243.034,246.680,247.003,1.6,0.1,0.0,0.3,0.2
Food at home,8.258,239.820,241.494,241.993,0.9,0.2,-0.2,0.4,0.3
Cereals and bakery products,1.135,271.993,274.479,275.526,1.3,0.4,-0.1,0.5,0.2
"Meats, poultry, fish, and eggs",1.983,253.767,261.189,261.639,3.1,0.2,-0.5,1.4,0.2
Dairy and related products(1),0.845,225.140,219.696,221.443,-1.6,0.8,-0.7,-0.6,0.8
Fruits and vegetables,1.318,293.535,288.968,287.816,-1.9,-0.4,0.3,-0.4,0.3
Nonalcoholic beverages and beverage materials,0.939,165.211,166.824,167.421,1.3,0.4,-0.2,0.1,0.4
Other food at home,2.039,207.390,209.787,210.251,1.4,0.2,0.1,0.3,0.2
Food away from home(1),5.810,249.210,255.846,255.905,2.7,0.0,0.2,0.2,0.0
Energy,8.318,257.907,220.861,219.852,-14.8,-0.5,4.3,1.7,0.1
Energy commodities,4.466,318.294,247.867,246.977,-22.4,-0.4,9.6,3.1,0.7
Fuel oil(1),0.121,367.725,267.649,258.620,-29.7,-3.4,0.7,-1.9,-3.4
Motor fuel,4.263,314.901,245.147,244.584,-22.3,-0.2,10.2,3.3,0.8
Gasoline (all types),4.199,313.514,244.226,243.736,-22.3,-0.2,10.4,3.4,0.9
Energy services(2),3.853,211.563,204.843,203.674,-3.7,-0.6,-1.0,0.2,-0.6
Electricity(2),3.079,217.930,217.468,216.406,-0.7,-0.5,-1.2,0.2,-0.4
Utility (piped) gas service(2),0.773,189.659,164.205,162.733,-14.2,-0.9,0.0,0.3,-1.4
All items less food and energy,77.613,238.138,242.354,242.436,1.8,0.0,0.1,0.2,0.1
Commodities less food and energy commodities,19.270,146.452,146.444,145.722,-0.5,-0.5,-0.1,-0.1,-0.1
Apparel,3.317,124.645,124.954,122.607,-1.6,-1.9,-0.5,-0.1,0.3
New vehicles,3.525,146.086,147.845,147.154,0.7,-0.5,0.2,0.1,-0.2
Used cars and trucks,1.665,152.857,150.970,151.119,-1.1,0.1,-0.4,-0.4,-0.6
Medical care commodities,1.767,344.687,354.524,355.235,3.1,0.2,0.4,0.0,0.1
Alcoholic beverages,0.999,236.387,238.911,239.092,1.1,0.1,0.2,-0.2,0.0
Tobacco and smoking products,0.716,904.614,929.542,935.913,3.5,0.7,0.4,0.8,0.0
Services less energy services,58.343,294.068,301.040,301.665,2.6,0.2,0.2,0.3,0.2
Shelter,32.759,271.115,278.461,279.559,3.1,0.4,0.2,0.3,0.4
Rent of primary residence(2),7.148,276.248,285.031,286.090,3.6,0.4,0.3,0.4,0.3
Owners' equivalent rent of residences(2)(3),24.302,277.886,285.436,286.220,3.0,0.3,0.3,0.4,0.3
Medical care services,5.938,465.166,475.546,475.956,2.3,0.1,0.2,-0.2,0.1
Physicians' services(2),1.586,358.585,366.541,367.450,2.5,0.2,0.1,0.2,0.2
Hospital services(2)(4),1.864,279.587,288.959,288.895,3.3,0.0,0.5,-1.1,-0.1
Transportation services,5.677,286.239,293.930,292.119,2.1,-0.6,0.7,0.4,-0.2
Motor vehicle maintenance and repair(1),1.160,266.282,270.981,271.175,1.8,0.1,0.3,0.1,0.1
Motor vehicle insurance,2.308,436.342,457.774,460.041,5.4,0.5,0.2,0.3,0.6
Airline fare,0.781,315.012,324.953,297.324,-5.6,-8.5,5.7,2.0,-5.6
