Expenditure category,RelativeimportanceMar.2015,Apr.2014,Mar.2015,Apr.2015,Apr.2014-Apr.2015,Mar.2015-Apr.2015,Jan.2015-Feb.2015,Feb.2015-Mar.2015,Mar.2015-Apr.2015
All items,100.000,237.072,236.119,236.599,-0.2,0.2,0.2,0.2,0.1
Food,14.182,241.337,246.045,246.121,2.0,0.0,0.2,-0.2,0.0
Food at home,8.350,238.103,241.588,241.305,1.3,-0.1,0.1,-0.5,-0.2
Cereals and bakery products,1.145,271.005,273.812,273.366,0.9,-0.2,-0.2,0.4,-0.3
"Meats, poultry, fish, and eggs",1.995,249.290,260.077,258.991,3.9,-0.4,0.3,-0.5,-0.7
Dairy and related products(1),0.872,224.171,224.449,222.691,-0.7,-0.8,-1.0,-0.5,-0.8
Fruits and vegetables,1.336,294.509,289.858,290.178,-1.5,0.1,-0.3,-1.4,0.2
Nonalcoholic beverages and beverage materials,0.954,165.387,167.706,168.401,1.8,0.4,0.6,-0.6,0.5
Other food at home,2.047,205.091,208.463,208.648,1.7,0.1,0.5,-0.1,0.1
Food away from home(1),5.832,247.534,254.108,254.727,2.9,0.2,0.3,0.2,0.2
Energy,7.793,252.717,204.731,203.715,-19.4,-0.5,1.0,1.1,-1.3
Energy commodities,4.035,320.709,221.577,220.732,-31.2,-0.4,2.1,3.8,-1.9
Fuel oil(1),0.135,382.025,295.603,270.850,-29.1,-8.4,1.9,5.9,-8.4
Motor fuel,3.808,316.782,216.691,216.595,-31.6,0.0,2.2,3.9,-1.7
Gasoline (all types),3.744,315.335,215.442,215.461,-31.7,0.0,2.4,3.9,-1.7
Energy services(2),3.758,198.856,197.727,196.502,-1.2,-0.6,-0.2,-1.5,-0.5
Electricity(2),2.947,198.654,205.894,206.179,3.8,0.1,0.3,-1.1,0.0
Utility (piped) gas service(2),0.812,196.872,170.592,164.839,-16.3,-3.4,-2.0,-2.7,-2.6
All items less food and energy,78.025,237.509,241.067,241.802,1.8,0.3,0.2,0.2,0.3
Commodities less food and energy commodities,19.535,147.589,146.887,147.303,-0.2,0.3,0.2,0.3,0.1
Apparel,3.440,129.629,128.245,128.593,-0.8,0.3,0.3,0.5,-0.3
New vehicles,3.556,146.724,147.574,147.844,0.8,0.2,0.2,0.2,0.1
Used cars and trucks,1.639,150.496,147.023,149.788,-0.5,1.9,1.0,1.2,0.6
Medical care commodities,1.784,340.535,353.995,354.339,4.1,0.1,0.7,0.1,0.1
Alcoholic beverages,1.012,236.530,239.437,239.237,1.1,-0.1,0.0,0.2,0.0
Tobacco and smoking products,0.716,896.306,919.240,917.843,2.4,-0.2,0.5,0.4,0.0
Services less energy services,58.490,292.257,298.612,299.544,2.5,0.3,0.1,0.2,0.3
Shelter,32.859,268.899,276.360,276.978,3.0,0.2,0.2,0.3,0.3
Rent of primary residence(2),7.176,274.100,283.130,283.598,3.5,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.373,276.265,283.244,283.920,2.8,0.2,0.2,0.3,0.3
Medical care services,5.965,464.238,472.645,476.163,2.6,0.7,-0.2,0.4,0.9
Physicians' services(2),1.590,358.415,363.531,365.146,1.9,0.4,-0.4,0.6,0.5
Hospital services(2)(4),1.874,278.496,287.420,291.775,4.8,1.5,-0.2,0.6,1.9
Transportation services,5.628,285.402,288.349,289.971,1.6,0.6,0.3,0.0,0.1
Motor vehicle maintenance and repair(1),1.163,264.508,268.907,269.948,2.1,0.4,0.1,-0.1,0.4
Motor vehicle insurance,2.320,433.113,455.373,456.564,5.4,0.3,0.9,0.5,0.4
Airline fare,0.698,318.331,287.362,294.603,-7.5,2.5,0.2,-1.7,-1.3
