Expenditure category,RelativeimportanceSep.2021,Oct.2020,Sep.2021,Oct.2021,Oct.2020-Oct.2021,Sep.2021-Oct.2021,Jul.2021-Aug.2021,Aug.2021-Sep.2021,Sep.2021-Oct.2021
All items,100.000,260.388,274.310,276.589,6.2,0.8,0.3,0.4,0.9
Food,13.977,269.828,281.506,284.205,5.3,1.0,0.4,0.9,0.9
Food at home,7.716,251.937,262.695,265.478,5.4,1.1,0.4,1.2,1.0
Cereals and bakery products,0.979,284.740,292.069,294.625,3.5,0.9,0.0,1.1,1.0
"Meats, poultry, fish, and eggs",1.827,265.796,293.217,297.377,11.9,1.4,0.7,2.2,1.7
Dairy and related products,0.753,229.155,231.973,233.168,1.8,0.5,-1.0,0.7,0.2
Fruits and vegetables,1.310,309.071,315.428,318.316,3.0,0.9,0.2,0.6,0.1
Nonalcoholic beverages and beverage materials,0.918,178.400,184.490,186.387,4.5,1.0,1.0,1.2,0.8
Other food at home,1.929,218.758,225.141,227.701,4.1,1.1,0.6,1.1,1.2
Food away from home(1),6.261,297.893,310.996,313.592,5.3,0.8,0.4,0.5,0.8
Energy,7.322,196.458,248.228,255.338,30.0,2.9,2.0,1.3,4.8
Energy commodities,4.080,196.835,283.095,294.326,49.5,4.0,2.7,1.3,6.2
Fuel oil(1),0.099,202.805,287.325,322.736,59.1,12.3,-2.1,3.9,12.3
Motor fuel,3.911,193.647,279.367,289.665,49.6,3.7,2.8,1.2,6.1
Gasoline (all types),3.830,192.792,278.338,288.501,49.6,3.7,2.8,1.2,6.1
Energy services,3.242,205.445,225.160,228.484,11.2,1.5,1.1,1.2,3.0
Electricity,2.469,215.570,229.831,229.641,6.5,-0.1,1.0,0.8,1.8
Utility (piped) gas service,0.773,172.255,207.290,220.668,28.1,6.5,1.6,2.7,6.6
All items less food and energy,78.701,269.328,279.884,281.617,4.6,0.6,0.1,0.2,0.6
Commodities less food and energy commodities,20.686,146.261,156.720,158.550,8.4,1.2,0.3,0.2,1.0
Apparel,2.727,119.172,123.406,124.323,4.3,0.7,0.4,-1.1,0.0
New vehicles,3.834,147.956,160.244,162.527,9.8,1.4,1.2,1.3,1.4
Used cars and trucks,3.291,154.381,190.207,195.213,26.4,2.6,-1.5,-0.7,2.5
Medical care commodities(1),1.496,380.371,376.842,379.003,-0.4,0.6,-0.2,0.3,0.6
Alcoholic beverages,1.006,258.936,264.980,264.748,2.2,-0.1,0.3,0.2,-0.2
Tobacco and smoking products(1),0.608,"1,186.127","1,263.542","1,287.067",8.5,1.9,0.1,0.7,1.9
Services less energy services,58.016,346.220,355.962,357.469,3.2,0.4,0.0,0.2,0.4
Shelter,32.576,327.273,337.451,338.671,3.5,0.4,0.2,0.4,0.5
Rent of primary residence,7.613,343.615,351.255,352.892,2.7,0.5,0.3,0.5,0.4
Owners' equivalent rent of residences(2),23.594,336.965,345.824,347.522,3.1,0.5,0.3,0.4,0.4
Medical care services,7.024,565.999,572.559,575.493,1.7,0.5,0.3,-0.1,0.5
Physicians' services(1),1.794,392.099,407.266,407.391,3.9,0.0,0.0,-0.3,0.0
Hospital services(3),2.176,354.289,366.394,368.593,4.0,0.6,0.9,0.1,0.5
Transportation services,5.018,309.965,321.673,323.903,4.5,0.7,-2.3,-0.5,0.4
Motor vehicle maintenance and repair(1),1.079,308.569,320.446,325.095,5.4,1.5,0.8,0.0,1.5
Motor vehicle insurance,1.575,531.217,566.211,564.507,6.3,-0.3,-2.8,2.1,0.0
Airline fares,0.580,215.993,198.975,205.994,-4.6,3.5,-9.1,-6.4,-0.7
