Expenditure category,RelativeimportanceApr.2021,May2020,Apr.2021,May2021,May2020-May2021,Apr.2021-May2021,Feb.2021-Mar.2021,Mar.2021-Apr.2021,Apr.2021-May2021
All items,100.000,256.394,267.054,269.195,5.0,0.8,0.6,0.8,0.6
Food,13.928,268.439,273.090,274.212,2.2,0.4,0.1,0.4,0.4
Food at home,7.686,253.827,254.760,255.516,0.7,0.3,0.1,0.4,0.4
Cereals and bakery products,0.982,284.937,285.377,286.649,0.6,0.4,-0.1,0.4,0.5
"Meats, poultry, fish, and eggs",1.738,275.405,271.459,275.776,0.1,1.6,0.1,0.5,1.3
Dairy and related products,0.767,230.166,230.170,230.380,0.1,0.1,-0.5,0.6,0.4
Fruits and vegetables,1.344,306.798,314.973,315.748,2.9,0.2,1.0,0.8,0.0
Nonalcoholic beverages and beverage materials,0.918,178.234,179.570,177.814,-0.2,-1.0,-0.2,0.3,-0.5
Other food at home,1.937,218.988,220.143,219.664,0.3,-0.2,0.0,0.1,0.0
Food away from home(1),6.242,291.709,301.819,303.481,4.0,0.6,0.1,0.3,0.6
Energy,6.941,183.076,229.116,235.339,28.5,2.7,5.0,-0.1,0.0
Energy commodities,3.809,173.138,257.289,267.532,54.5,4.0,8.9,-1.4,-0.6
Fuel oil(1),0.095,180.999,267.262,272.990,50.8,2.1,3.2,-3.2,2.1
Motor fuel,3.648,169.882,253.648,264.135,55.5,4.1,9.1,-1.3,-0.7
Gasoline (all types),3.570,168.528,252.603,263.170,56.2,4.2,9.1,-1.4,-0.7
Energy services,3.133,201.752,211.838,214.335,6.2,1.2,0.6,1.5,0.7
Electricity,2.412,211.988,218.627,220.948,4.2,1.1,0.0,1.2,0.3
Utility (piped) gas service,0.721,168.316,188.129,191.083,13.5,1.6,2.5,2.4,1.7
All items less food and energy,79.131,265.799,273.968,275.893,3.8,0.7,0.3,0.9,0.7
Commodities less food and energy commodities,20.325,142.964,149.915,152.217,6.5,1.5,0.1,2.0,1.8
Apparel,2.739,114.582,120.656,120.951,5.6,0.2,-0.3,0.3,1.2
New vehicles,3.684,147.222,149.892,152.143,3.3,1.5,0.0,0.5,1.6
Used cars and trucks,2.998,138.383,168.647,179.532,29.7,6.5,0.5,10.0,7.3
Medical care commodities(1),1.539,384.304,377.284,377.191,-1.9,0.0,0.1,0.6,0.0
Alcoholic beverages,1.019,257.713,261.265,261.711,1.6,0.2,0.3,0.2,0.4
Tobacco and smoking products(1),0.612,"1,156.179","1,238.348","1,240.082",7.3,0.1,0.6,0.2,0.1
Services less energy services,58.806,342.801,351.265,352.721,2.9,0.4,0.4,0.5,0.4
Shelter,32.857,325.265,331.354,332.454,2.2,0.3,0.3,0.4,0.3
Rent of primary residence,7.709,340.811,346.267,347.016,1.8,0.2,0.2,0.2,0.2
Owners' equivalent rent of residences(2),23.838,334.052,340.162,341.095,2.1,0.3,0.2,0.2,0.3
Medical care services,7.209,562.701,572.108,571.255,1.5,-0.1,0.1,0.0,-0.1
Physicians' services(1),1.836,389.329,405.869,405.744,4.2,0.0,0.3,-0.3,0.0
Hospital services(3),2.205,352.287,361.585,361.285,2.6,-0.1,0.6,0.2,0.2
Transportation services,5.200,297.882,324.519,331.188,11.2,2.1,1.8,2.9,1.5
Motor vehicle maintenance and repair(1),1.090,305.574,315.177,314.164,2.8,-0.3,1.0,0.2,-0.3
Motor vehicle insurance,1.622,486.761,567.509,569.010,16.9,0.3,3.3,2.5,0.7
Airline fares,0.668,201.649,222.953,250.209,24.1,12.2,0.4,10.2,7.0
