Expenditure category,RelativeimportanceMar.2021,Apr.2020,Mar.2021,Apr.2021,Apr.2020-Apr.2021,Mar.2021-Apr.2021,Jan.2021-Feb.2021,Feb.2021-Mar.2021,Mar.2021-Apr.2021
All items,100.000,256.389,264.877,267.054,4.2,0.8,0.4,0.6,0.8
Food,13.976,266.757,271.812,273.090,2.4,0.5,0.2,0.1,0.4
Food at home,7.702,251.717,253.231,254.760,1.2,0.6,0.3,0.1,0.4
Cereals and bakery products,0.988,285.160,284.746,285.377,0.1,0.2,0.5,-0.1,0.4
"Meats, poultry, fish, and eggs",1.733,266.263,268.457,271.459,2.0,1.1,0.3,0.1,0.5
Dairy and related products,0.770,228.755,229.249,230.170,0.6,0.4,-0.2,-0.5,0.6
Fruits and vegetables,1.339,304.809,311.168,314.973,3.3,1.2,0.7,1.0,0.8
Nonalcoholic beverages and beverage materials,0.928,179.235,180.018,179.570,0.2,-0.2,-0.1,-0.2,0.3
Other food at home,1.945,219.233,219.263,220.143,0.4,0.4,0.1,0.0,0.1
Food away from home(1),6.274,290.639,300.897,301.819,3.8,0.3,0.1,0.1,0.3
Energy,6.899,183.081,225.861,229.116,25.1,1.4,3.9,5.0,-0.1
Energy commodities,3.774,174.001,252.840,257.289,47.9,1.8,6.6,8.9,-1.4
Fuel oil(1),0.099,194.716,276.100,267.262,37.3,-3.2,9.9,3.2,-3.2
Motor fuel,3.606,170.378,248.681,253.648,48.9,2.0,6.4,9.1,-1.3
Gasoline (all types),3.529,168.891,247.652,252.603,49.6,2.0,6.4,9.1,-1.4
Energy services,3.125,200.899,209.623,211.838,5.4,1.1,0.9,0.6,1.5
Electricity,2.409,211.040,216.528,218.627,3.6,1.0,0.7,0.0,1.2
Utility (piped) gas service,0.717,167.751,185.624,188.129,12.1,1.3,1.6,2.5,2.4
All items less food and energy,79.125,266.089,271.713,273.968,3.0,0.8,0.1,0.3,0.9
Commodities less food and energy commodities,20.116,143.613,147.160,149.915,4.4,1.9,-0.2,0.1,2.0
Apparel,2.763,118.394,120.746,120.656,1.9,-0.1,-0.7,-0.3,0.3
New vehicles,3.700,147.007,149.321,149.892,2.0,0.4,0.0,0.0,0.5
Used cars and trucks,2.757,139.411,153.873,168.647,21.0,9.6,-0.9,0.5,10.0
Medical care commodities(1),1.543,383.911,375.111,377.284,-1.7,0.6,-0.7,0.1,0.6
Alcoholic beverages,1.025,256.423,260.652,261.265,1.9,0.2,-0.1,0.3,0.2
Tobacco and smoking products(1),0.616,"1,159.847","1,236.352","1,238.348",6.8,0.2,0.6,0.6,0.2
Services less energy services,59.009,342.776,349.607,351.265,2.5,0.5,0.2,0.4,0.5
Shelter,33.004,324.522,330.122,331.354,2.1,0.4,0.2,0.3,0.4
Rent of primary residence,7.760,340.135,345.717,346.267,1.8,0.2,0.2,0.2,0.2
Owners' equivalent rent of residences(2),23.991,333.358,339.565,340.162,2.0,0.2,0.3,0.2,0.2
Medical care services,7.280,559.994,573.009,572.108,2.2,-0.2,0.5,0.1,0.0
Physicians' services(1),1.857,386.862,407.048,405.869,4.9,-0.3,2.0,0.3,-0.3
Hospital services(3),2.223,352.676,361.468,361.585,2.5,0.0,-0.1,0.6,0.2
Transportation services,5.111,307.250,316.345,324.519,5.6,2.6,-0.1,1.8,2.9
Motor vehicle maintenance and repair(1),1.097,304.376,314.660,315.177,3.5,0.2,0.3,1.0,0.2
Motor vehicle insurance,1.628,534.842,565.166,567.509,6.1,0.4,0.7,3.3,2.5
Airline fares,0.595,203.342,197.134,222.953,9.6,13.1,-5.1,0.4,10.2
