Expenditure category,RelativeimportanceDec.2020,Jan.2020,Dec.2020,Jan.2021,Jan.2020-Jan.2021,Dec.2020-Jan.2021,Oct.2020-Nov.2020,Nov.2020-Dec.2020,Dec.2020-Jan.2021
All items,100.000,257.971,260.474,261.582,1.4,0.4,0.2,0.2,0.3
Food,14.119,261.057,270.023,270.938,3.8,0.3,0.0,0.3,0.1
Food at home,7.772,243.110,251.253,252.107,3.7,0.3,-0.2,0.3,-0.1
Cereals and bakery products,1.001,275.916,283.735,282.911,2.5,-0.3,-0.3,0.3,-0.8
"Meats, poultry, fish, and eggs",1.736,252.905,264.475,265.922,5.1,0.5,0.1,-0.2,0.5
Dairy and related products,0.792,223.035,231.740,231.546,3.8,-0.1,0.3,0.7,-0.4
Fruits and vegetables,1.341,301.679,306.506,309.954,2.7,1.1,0.1,-0.2,-0.2
Nonalcoholic beverages and beverage materials,0.930,172.313,177.539,179.789,4.3,1.3,-0.6,0.9,0.1
Other food at home,1.972,210.763,218.534,217.824,3.4,-0.3,-0.5,0.7,-0.3
Food away from home(1),6.347,289.137,299.369,300.382,3.9,0.3,0.1,0.4,0.3
Energy,6.155,213.043,198.155,205.273,-3.6,3.6,0.7,2.6,3.5
Energy commodities,3.020,232.906,198.997,212.676,-8.7,6.9,0.5,5.1,7.3
Fuel oil(1),0.084,291.872,231.044,243.588,-16.5,5.4,3.3,10.2,5.4
Motor fuel,2.875,228.343,194.996,208.387,-8.7,6.9,0.5,5.2,7.4
Gasoline (all types),2.811,227.010,193.990,207.406,-8.6,6.9,0.5,5.2,7.4
Energy services,3.135,203.318,206.758,207.649,2.1,0.4,0.9,0.2,-0.3
Electricity,2.425,212.018,214.375,215.242,1.5,0.4,0.3,0.4,-0.2
Utility (piped) gas service,0.710,174.272,180.767,181.709,4.3,0.5,3.0,-0.4,-0.4
All items less food and energy,79.726,266.004,269.226,269.755,1.4,0.2,0.2,0.0,0.0
Commodities less food and energy commodities,20.200,143.532,145.317,145.973,1.7,0.5,0.0,0.1,0.1
Apparel,2.663,120.853,114.434,117.785,-2.5,2.9,0.7,0.9,2.2
New vehicles,3.756,147.253,149.091,149.377,1.4,0.2,0.0,0.4,-0.5
Used cars and trucks,2.750,136.064,150.891,149.659,10.0,-0.8,-1.4,-0.9,-0.9
Medical care commodities(1),1.580,386.331,377.921,377.546,-2.3,-0.1,-0.4,-0.2,-0.1
Alcoholic beverages,1.038,253.592,259.397,259.765,2.4,0.1,0.4,0.1,-0.1
Tobacco and smoking products(1),0.608,"1,144.642","1,199.508","1,220.942",6.7,1.8,0.5,0.6,1.8
Services less energy services,59.526,342.694,346.808,347.190,1.3,0.1,0.2,0.0,0.0
Shelter,33.316,323.053,327.702,328.282,1.6,0.2,0.1,0.1,0.1
Rent of primary residence,7.862,337.825,344.455,344.758,2.1,0.1,0.1,0.1,0.1
Owners' equivalent rent of residences(2),24.263,331.522,337.695,338.181,2.0,0.1,0.1,0.1,0.1
Medical care services,7.289,552.721,564.201,568.778,2.9,0.8,-0.1,-0.1,0.5
Physicians' services(1),1.817,384.715,391.807,397.892,3.4,1.6,0.0,-0.1,1.6
Hospital services(3),2.221,349.152,355.232,358.733,2.7,1.0,0.3,0.3,0.3
Transportation services,5.142,324.500,312.959,311.312,-4.1,-0.5,1.3,-0.6,-0.3
Motor vehicle maintenance and repair(1),1.099,300.112,309.888,310.662,3.5,0.2,0.4,0.0,0.2
Motor vehicle insurance,1.598,572.693,545.376,551.552,-3.7,1.1,-0.2,-0.1,1.6
Airline fares,0.633,255.200,205.983,200.825,-21.3,-2.5,3.7,-2.5,-3.2
