Expenditure category,RelativeimportanceNov.2021,Dec.2020,Nov.2021,Dec.2021,Dec.2020-Dec.2021,Nov.2021-Dec.2021,Sep.2021-Oct.2021,Oct.2021-Nov.2021,Nov.2021-Dec.2021
All items,100.000,260.474,277.948,278.802,7.0,0.3,0.9,0.8,0.5
Food,13.990,270.023,285.507,286.966,6.3,0.5,0.9,0.7,0.5
Food at home,7.722,251.253,266.384,267.555,6.5,0.4,1.0,0.8,0.4
Cereals and bakery products,0.978,283.735,295.909,297.279,4.8,0.5,1.0,0.8,0.4
"Meats, poultry, fish, and eggs",1.840,264.475,299.228,297.604,12.5,-0.5,1.7,0.9,-0.4
Dairy and related products,0.746,231.740,233.157,235.442,1.6,1.0,0.2,0.2,0.7
Fruits and vegetables,1.305,306.506,318.436,321.931,5.0,1.1,0.1,1.0,0.9
Nonalcoholic beverages and beverage materials,0.909,177.539,185.119,186.723,5.2,0.9,0.8,0.2,0.8
Other food at home,1.942,218.534,229.643,230.809,5.6,0.5,1.2,1.0,0.6
Food away from home(1),6.269,299.369,315.481,317.372,6.0,0.6,0.8,0.6,0.6
Energy,7.542,198.155,259.100,256.207,29.3,-1.1,4.8,3.5,-0.4
Energy commodities,4.304,198.997,302.635,296.391,48.9,-2.1,6.2,5.9,-0.6
Fuel oil(1),0.114,231.044,333.899,325.879,41.0,-2.4,12.3,3.5,-2.4
Motor fuel,4.115,194.996,297.841,291.510,49.5,-2.1,6.1,6.1,-0.5
Gasoline (all types),4.027,193.990,296.571,290.185,49.6,-2.2,6.1,6.1,-0.5
Energy services,3.238,206.758,227.874,228.199,10.4,0.1,3.0,0.3,-0.1
Electricity,2.412,214.375,227.588,227.974,6.3,0.2,1.8,0.3,0.3
Utility (piped) gas service,0.825,180.767,224.225,224.366,24.1,0.1,6.6,0.6,-1.2
All items less food and energy,78.468,269.226,282.754,283.908,5.5,0.4,0.6,0.5,0.6
Commodities less food and energy commodities,20.768,145.317,159.426,160.850,10.7,0.9,1.0,0.9,1.2
Apparel,2.669,114.434,122.383,121.068,5.8,-1.1,0.0,1.3,1.7
New vehicles,3.884,149.091,164.511,166.653,11.8,1.3,1.4,1.1,1.0
Used cars and trucks,3.419,150.891,200.209,207.164,37.3,3.5,2.5,2.5,3.5
Medical care commodities(1),1.487,377.921,379.483,379.611,0.4,0.0,0.6,0.1,0.0
Alcoholic beverages,0.993,259.397,264.957,265.410,2.3,0.2,-0.2,0.0,0.5
Tobacco and smoking products(1),0.617,"1,199.508","1,298.746","1,308.024",9.0,0.7,1.9,0.9,0.7
Services less energy services,57.700,346.808,358.722,359.559,3.7,0.2,0.4,0.4,0.3
Shelter,32.393,327.702,339.997,341.241,4.1,0.4,0.5,0.5,0.4
Rent of primary residence,7.583,344.455,354.526,355.931,3.3,0.4,0.4,0.4,0.4
Owners' equivalent rent of residences(2),23.509,337.695,349.152,350.508,3.8,0.4,0.4,0.4,0.4
Medical care services,6.987,564.201,577.076,578.555,2.5,0.3,0.5,0.3,0.3
Physicians' services(1),1.777,391.807,408.843,408.644,4.3,0.0,0.0,0.4,0.0
Hospital services(3),2.154,355.232,367.479,366.854,3.3,-0.2,0.5,-0.3,0.2
Transportation services,5.046,312.959,327.749,326.063,4.2,-0.5,0.4,0.7,-0.3
Motor vehicle maintenance and repair(1),1.080,309.888,325.076,324.688,4.8,-0.1,1.5,0.0,-0.1
Motor vehicle insurance,1.560,545.376,568.239,567.875,4.1,-0.1,0.0,-0.8,-1.5
Airline fares,0.619,205.983,215.159,208.954,1.4,-2.9,-0.7,4.7,2.7
