Expenditure category,RelativeimportanceOct.2021,Nov.2020,Oct.2021,Nov.2021,Nov.2020-Nov.2021,Oct.2021-Nov.2021,Aug.2021-Sep.2021,Sep.2021-Oct.2021,Oct.2021-Nov.2021
All items,100.000,260.229,276.589,277.948,6.8,0.5,0.4,0.9,0.8
Food,13.995,269.069,284.205,285.507,6.1,0.5,0.9,0.9,0.7
Food at home,7.733,250.407,265.478,266.384,6.4,0.3,1.2,1.0,0.8
Cereals and bakery products,0.979,282.782,294.625,295.909,4.6,0.4,1.1,1.0,0.8
"Meats, poultry, fish, and eggs",1.838,265.307,297.377,299.228,12.8,0.6,2.2,1.7,0.9
Dairy and related products,0.750,229.503,233.168,233.157,1.6,0.0,0.7,0.2,0.2
Fruits and vegetables,1.311,306.311,318.316,318.436,4.0,0.0,0.6,0.1,1.0
Nonalcoholic beverages and beverage materials,0.920,175.869,186.387,185.119,5.3,-0.7,1.2,0.8,0.2
Other food at home,1.935,217.310,227.701,229.643,5.7,0.9,1.1,1.2,1.0
Food away from home(1),6.262,298.253,313.592,315.481,5.8,0.6,0.5,0.8,0.6
Energy,7.469,194.388,255.338,259.100,33.3,1.5,1.3,4.8,3.5
Energy commodities,4.207,192.126,294.326,302.635,57.5,2.8,1.3,6.2,5.9
Fuel oil(1),0.111,209.579,322.736,333.899,59.3,3.5,3.9,12.3,3.5
Motor fuel,4.022,188.544,289.665,297.841,58.0,2.8,1.2,6.1,6.1
Gasoline (all types),3.937,187.609,288.501,296.571,58.1,2.8,1.2,6.1,6.1
Energy services,3.262,205.921,228.484,227.874,10.7,-0.3,1.2,3.0,0.3
Electricity,2.446,213.787,229.641,227.588,6.5,-0.9,0.8,1.8,0.3
Utility (piped) gas service,0.816,179.226,220.668,224.225,25.1,1.6,2.7,6.6,0.6
All items less food and energy,78.536,269.473,281.617,282.754,4.9,0.4,0.2,0.6,0.5
Commodities less food and energy commodities,20.755,145.750,158.550,159.426,9.4,0.6,0.2,1.0,0.9
Apparel,2.725,116.602,124.323,122.383,5.0,-1.6,-1.1,0.0,1.3
New vehicles,3.856,148.063,162.527,164.511,11.1,1.2,1.3,1.4,1.1
Used cars and trucks,3.350,152.324,195.213,200.209,31.4,2.6,-0.7,2.5,2.5
Medical care commodities(1),1.493,378.810,379.003,379.483,0.2,0.1,0.3,0.6,0.1
Alcoholic beverages,0.997,259.995,264.748,264.957,1.9,0.1,0.2,-0.2,0.0
Tobacco and smoking products(1),0.615,"1,192.609","1,287.067","1,298.746",8.9,0.9,0.7,1.9,0.9
Services less energy services,57.781,346.884,357.469,358.722,3.4,0.4,0.2,0.4,0.4
Shelter,32.425,327.435,338.671,339.997,3.8,0.4,0.4,0.5,0.5
Rent of primary residence,7.585,344.039,352.892,354.526,3.0,0.5,0.5,0.4,0.4
Owners' equivalent rent of residences(2),23.514,337.247,347.522,349.152,3.5,0.5,0.4,0.4,0.4
Medical care services,7.002,565.345,575.493,577.076,2.1,0.3,-0.1,0.5,0.3
Physicians' services(1),1.780,392.156,407.391,408.843,4.3,0.4,-0.3,0.0,0.4
Hospital services(3),2.171,355.164,368.593,367.479,3.5,-0.3,0.1,0.5,-0.3
Transportation services,5.012,315.554,323.903,327.749,3.9,1.2,-0.5,0.4,0.7
Motor vehicle maintenance and repair(1),1.085,309.949,325.095,325.076,4.9,0.0,0.0,1.5,0.0
Motor vehicle insurance,1.557,537.765,564.507,568.239,5.7,0.7,2.1,0.0,-0.8
Airline fares,0.596,223.360,205.994,215.159,-3.7,4.4,-6.4,-0.7,4.7
