Expenditure category,RelativeimportanceAug.2021,Sep.2020,Aug.2021,Sep.2021,Sep.2020-Sep.2021,Aug.2021-Sep.2021,Jun.2021-Jul.2021,Jul.2021-Aug.2021,Aug.2021-Sep.2021
All items,100.000,260.280,273.567,274.310,5.4,0.3,0.5,0.3,0.4
Food,13.897,269.163,279.135,281.506,4.6,0.8,0.7,0.4,0.9
Food at home,7.652,251.369,259.825,262.695,4.5,1.1,0.7,0.4,1.2
Cereals and bakery products,0.971,284.416,288.990,292.069,2.7,1.1,1.2,0.0,1.1
"Meats, poultry, fish, and eggs",1.802,265.386,288.367,293.217,10.5,1.7,1.5,0.7,2.2
Dairy and related products,0.749,230.656,230.145,231.973,0.6,0.8,0.6,-1.0,0.7
Fruits and vegetables,1.306,306.249,313.672,315.428,3.0,0.6,-0.9,0.2,0.6
Nonalcoholic beverages and beverage materials,0.910,177.848,182.277,184.490,3.7,1.2,0.7,1.0,1.2
Other food at home,1.915,218.358,222.863,225.141,3.1,1.0,0.8,0.6,1.1
Food away from home(1),6.245,297.080,309.336,310.996,4.7,0.5,0.8,0.4,0.5
Energy,7.294,198.858,246.639,248.228,24.8,0.6,1.6,2.0,1.3
Energy commodities,4.071,199.741,281.730,283.095,41.7,0.5,2.3,2.7,1.3
Fuel oil(1),0.096,201.474,276.557,287.325,42.6,3.9,0.6,-2.1,3.9
Motor fuel,3.909,196.756,278.461,279.367,42.0,0.3,2.4,2.8,1.2
Gasoline (all types),3.828,195.888,277.448,278.338,42.1,0.3,2.4,2.8,1.2
Energy services,3.223,207.454,223.272,225.160,8.5,0.8,0.8,1.1,1.2
Electricity,2.467,218.395,229.088,229.831,5.2,0.3,0.4,1.0,0.8
Utility (piped) gas service,0.756,171.873,202.140,207.290,20.6,2.5,2.2,1.6,2.7
All items less food and energy,78.809,269.054,279.507,279.884,4.0,0.1,0.3,0.1,0.2
Commodities less food and energy commodities,20.724,146.096,156.581,156.720,7.3,0.1,0.5,0.3,0.2
Apparel,2.686,119.354,121.194,123.406,3.4,1.8,0.0,0.4,-1.1
New vehicles,3.806,147.361,158.652,160.244,8.7,1.0,1.7,1.2,1.3
Used cars and trucks,3.427,152.887,197.535,190.207,24.4,-3.7,0.2,-1.5,-0.7
Medical care commodities(1),1.496,383.031,375.685,376.842,-1.6,0.3,0.2,-0.2,0.3
Alcoholic beverages,1.007,257.730,264.315,264.980,2.8,0.3,0.3,0.3,0.2
Tobacco and smoking products(1),0.606,"1,183.975","1,254.492","1,263.542",6.7,0.7,0.5,0.1,0.7
Services less energy services,58.085,345.880,355.423,355.962,2.9,0.2,0.3,0.0,0.2
Shelter,32.552,327.116,336.284,337.451,3.2,0.3,0.4,0.2,0.4
Rent of primary residence,7.600,342.910,349.710,351.255,2.4,0.4,0.2,0.3,0.5
Owners' equivalent rent of residences(2),23.555,336.095,344.327,345.824,2.9,0.4,0.3,0.3,0.4
Medical care services,7.055,567.525,573.500,572.559,0.9,-0.2,0.3,0.3,-0.1
Physicians' services(1),1.804,392.474,408.490,407.266,3.8,-0.3,0.4,0.0,-0.3
Hospital services(3),2.178,355.129,365.843,366.394,3.2,0.2,0.5,0.9,0.1
Transportation services,5.094,308.143,325.652,321.673,4.4,-1.2,-1.1,-2.3,-0.5
Motor vehicle maintenance and repair(1),1.082,308.198,320.504,320.446,4.0,0.0,0.9,0.8,0.0
Motor vehicle insurance,1.579,540.491,566.183,566.211,4.8,0.0,-2.8,-2.8,2.1
Airline fares,0.623,197.424,212.882,198.975,0.8,-6.5,-0.1,-9.1,-6.4
