Expenditure category,RelativeimportanceAug.2022,Sep.2021,Aug.2022,Sep.2022,Sep.2021-Sep.2022,Aug.2022-Sep.2022,Jun.2022-Jul.2022,Jul.2022-Aug.2022,Aug.2022-Sep.2022
All items,100.000,274.310,296.171,296.808,8.2,0.2,0.0,0.1,0.4
Food,13.635,281.506,310.875,313.142,11.2,0.7,1.1,0.8,0.8
Food at home,8.475,262.695,295.007,296.771,13.0,0.6,1.3,0.7,0.7
Cereals and bakery products,1.098,292.069,336.399,339.336,16.2,0.9,1.8,1.2,0.9
"Meats, poultry, fish, and eggs",1.905,293.217,318.867,319.486,9.0,0.2,0.5,0.5,0.4
Dairy and related products,0.804,231.973,267.461,268.793,15.9,0.5,1.7,0.3,0.3
Fruits and vegetables,1.413,315.428,343.221,348.173,10.4,1.4,0.5,0.5,1.6
Nonalcoholic beverages and beverage materials,0.973,184.490,206.693,208.332,12.9,0.8,2.3,0.5,0.6
Other food at home,2.283,225.141,259.976,260.580,15.7,0.2,1.8,1.1,0.5
Food away from home(1),5.160,310.996,334.212,337.369,8.5,0.9,0.7,0.9,0.9
Energy,8.244,248.228,305.372,297.343,19.8,-2.6,-4.6,-5.0,-2.1
Energy commodities,4.565,283.095,358.038,338.768,19.7,-5.4,-7.6,-10.1,-4.7
Fuel oil(1),0.156,287.325,466.755,454.177,58.1,-2.7,-11.0,-5.9,-2.7
Motor fuel,4.336,279.367,351.315,331.772,18.8,-5.6,-7.6,-10.5,-4.8
Gasoline (all types),4.238,278.338,348.593,328.918,18.2,-5.6,-7.7,-10.6,-4.9
Energy services,3.679,225.160,267.564,269.667,19.8,0.8,0.1,2.1,1.1
Electricity,2.688,229.831,265.191,265.487,15.5,0.1,1.6,1.5,0.4
Utility (piped) gas service,0.992,207.290,268.866,275.894,33.1,2.6,-3.6,3.5,2.9
All items less food and energy,78.121,279.884,297.178,298.442,6.6,0.4,0.3,0.6,0.6
Commodities less food and energy commodities,21.288,156.720,167.637,167.104,6.6,-0.3,0.2,0.5,0.0
Apparel,2.433,123.406,127.328,130.143,5.5,2.2,-0.1,0.2,-0.3
New vehicles,4.049,160.244,174.598,175.312,9.4,0.4,0.6,0.8,0.7
Used cars and trucks,4.008,190.207,212.895,203.867,7.2,-4.2,-0.4,-0.1,-1.1
Medical care commodities(1),1.478,376.842,391.032,390.677,3.7,-0.1,0.6,0.2,-0.1
Alcoholic beverages,0.869,264.980,275.627,275.810,4.1,0.1,0.5,0.4,0.0
Tobacco and smoking products(1),0.517,"1,263.542","1,364.765","1,367.458",8.2,0.2,0.3,1.1,0.2
Services less energy services,56.833,355.962,376.980,379.634,6.7,0.7,0.4,0.6,0.8
Shelter,32.470,337.451,357.264,359.704,6.6,0.7,0.5,0.7,0.7
Rent of primary residence,7.304,351.255,373.283,376.569,7.2,0.9,0.7,0.7,0.8
Owners' equivalent rent of residences(2),23.837,345.824,365.993,368.932,6.7,0.8,0.6,0.7,0.8
Medical care services,6.864,572.559,605.883,609.852,6.5,0.7,0.4,0.8,1.0
Physicians' services(1),1.807,407.266,412.828,414.767,1.8,0.5,0.3,0.2,0.5
Hospital services(3),2.146,366.394,380.339,380.465,3.8,0.0,0.5,0.7,0.1
Transportation services,5.860,321.673,362.511,368.643,14.6,1.7,-0.5,0.5,1.9
Motor vehicle maintenance and repair(1),1.052,320.446,349.539,356.076,11.1,1.9,1.1,1.7,1.9
Motor vehicle insurance,2.431,566.211,615.559,624.558,10.3,1.5,1.3,1.3,1.6
Airline fares,0.615,198.975,283.911,284.313,42.9,0.1,-7.8,-4.6,0.8
