Expenditure category,RelativeimportanceJun.2022,Jul.2021,Jun.2022,Jul.2022,Jul.2021-Jul.2022,Jun.2022-Jul.2022,Apr.2022-May2022,May2022-Jun.2022,Jun.2022-Jul.2022
All items,100.000,273.003,296.311,296.276,8.5,0.0,1.0,1.3,0.0
Food,13.372,278.127,305.041,308.532,10.9,1.1,1.2,1.0,1.1
Food at home,8.295,259.022,288.884,292.972,13.1,1.4,1.4,1.0,1.3
Cereals and bakery products,1.064,289.533,326.378,332.968,15.0,2.0,1.5,2.1,1.8
"Meats, poultry, fish, and eggs",1.887,286.994,316.110,318.141,10.9,0.6,1.1,-0.4,0.5
Dairy and related products,0.785,231.233,261.255,265.638,14.9,1.7,2.9,1.7,1.7
Fruits and vegetables,1.402,312.875,340.594,341.839,9.3,0.4,0.6,0.7,0.5
Nonalcoholic beverages and beverage materials,0.945,180.136,200.876,204.944,13.8,2.0,1.7,0.8,2.3
Other food at home,2.212,222.116,252.015,257.295,15.8,2.1,1.6,1.8,1.8
Food away from home(1),5.077,308.023,329.033,331.342,7.6,0.7,0.7,0.9,0.7
Energy,9.200,244.800,340.917,325.407,32.9,-4.5,3.9,7.5,-4.6
Energy commodities,5.598,280.040,439.256,405.676,44.9,-7.6,4.5,10.4,-7.6
Fuel oil(1),0.186,282.484,557.440,495.910,75.6,-11.0,16.9,-1.2,-11.0
Motor fuel,5.337,276.650,432.585,399.682,44.5,-7.6,4.1,11.0,-7.6
Gasoline (all types),5.227,275.656,430.142,396.952,44.0,-7.7,4.1,11.2,-7.7
Energy services,3.602,221.196,262.048,262.731,18.8,0.3,3.0,3.5,0.1
Electricity,2.609,227.672,257.557,262.347,15.2,1.9,1.3,1.7,1.6
Utility (piped) gas service,0.993,198.207,269.278,258.666,30.5,-3.9,8.0,8.2,-3.6
All items less food and energy,77.428,279.146,294.680,295.646,5.9,0.3,0.6,0.7,0.3
Commodities less food and energy commodities,21.122,155.873,166.403,166.746,7.0,0.2,0.7,0.8,0.2
Apparel,2.419,119.078,126.619,125.188,5.1,-1.1,0.7,0.8,-0.1
New vehicles,3.999,157.203,172.546,173.618,10.4,0.6,1.0,0.7,0.6
Used cars and trucks,4.008,200.425,212.980,213.683,6.6,0.3,1.8,1.6,-0.4
Medical care commodities(1),1.465,376.323,387.787,390.077,3.7,0.6,0.3,0.4,0.6
Alcoholic beverages,0.862,263.226,273.537,274.344,4.2,0.3,0.5,0.4,0.5
Tobacco and smoking products(1),0.510,"1,253.276","1,346.046","1,349.636",7.7,0.3,0.9,0.6,0.3
Services less energy services,56.306,355.375,373.664,375.060,5.5,0.4,0.6,0.7,0.4
Shelter,32.065,335.812,352.967,354.935,5.7,0.6,0.6,0.6,0.5
Rent of primary residence,7.195,348.469,367.927,370.448,6.3,0.7,0.6,0.8,0.7
Owners' equivalent rent of residences(2),23.502,343.293,361.018,363.311,5.8,0.6,0.6,0.7,0.6
Medical care services,6.772,571.934,598.035,601.056,5.1,0.5,0.4,0.7,0.4
Physicians' services(1),1.797,408.445,410.729,411.846,0.8,0.3,-0.1,0.1,0.3
Hospital services(3),2.117,363.254,375.318,377.415,3.9,0.6,0.5,0.3,0.5
Transportation services,5.900,332.917,365.178,363.389,9.2,-0.5,1.3,2.1,-0.5
Motor vehicle maintenance and repair(1),1.023,318.031,340.058,343.678,8.1,1.1,0.5,2.0,1.1
Motor vehicle insurance,2.384,567.463,603.932,609.585,7.4,0.9,0.5,1.9,1.3
Airline fares,0.745,243.613,344.101,311.205,27.7,-9.6,12.6,-1.8,-7.8
