Expenditure category,RelativeimportanceFeb.2022,Mar.2021,Feb.2022,Mar.2022,Mar.2021-Mar.2022,Feb.2022-Mar.2022,Dec.2021-Jan.2022,Jan.2022-Feb.2022,Feb.2022-Mar.2022
All items,100.000,264.877,283.716,287.504,8.5,1.3,0.6,0.8,1.2
Food,13.405,271.812,292.794,295.728,8.8,1.0,0.9,1.0,1.0
Food at home,8.234,253.231,274.568,278.612,10.0,1.5,1.0,1.4,1.5
Cereals and bakery products,1.043,284.746,306.193,311.606,9.4,1.8,1.8,1.1,1.5
"Meats, poultry, fish, and eggs",1.878,268.457,301.240,305.116,13.7,1.3,0.3,1.2,1.0
Dairy and related products,0.761,229.249,242.386,245.258,7.0,1.2,1.1,1.9,1.2
Fruits and vegetables,1.434,311.168,333.675,337.503,8.5,1.1,0.9,2.3,1.5
Nonalcoholic beverages and beverage materials,0.944,180.018,192.210,194.342,8.0,1.1,0.0,1.6,1.2
Other food at home,2.174,219.263,237.143,241.804,10.3,2.0,1.6,0.8,2.0
Food away from home(1),5.171,300.897,320.880,321.689,6.9,0.3,0.7,0.4,0.3
Energy,7.547,225.861,267.771,298.246,32.0,11.4,0.9,3.5,11.0
Energy commodities,4.173,252.840,313.522,375.027,48.3,19.6,-0.6,6.7,18.1
Fuel oil(1),0.134,276.100,384.179,469.743,70.1,22.3,9.5,7.7,22.3
Motor fuel,3.961,248.681,307.422,368.440,48.2,19.8,-0.8,6.7,18.3
Gasoline (all types),3.883,247.652,305.959,366.499,48.0,19.8,-0.8,6.6,18.3
Energy services,3.374,209.623,235.017,237.825,13.5,1.2,2.9,-0.4,1.8
Electricity,2.502,216.528,236.453,240.558,11.1,1.7,4.2,-1.1,2.2
Utility (piped) gas service,0.872,185.624,226.491,225.679,21.6,-0.4,-0.5,1.5,0.6
All items less food and energy,79.048,271.713,288.059,289.305,6.5,0.4,0.6,0.5,0.3
Commodities less food and energy commodities,21.815,147.160,164.559,164.449,11.7,-0.1,1.0,0.4,-0.4
Apparel,2.551,120.746,127.868,128.919,6.8,0.8,1.1,0.7,0.6
New vehicles,4.067,149.321,168.027,168.056,12.5,0.0,0.0,0.3,0.2
Used cars and trucks,4.167,153.873,212.040,208.216,35.3,-1.8,1.5,-0.2,-3.8
Medical care commodities(1),1.517,375.111,384.304,385.084,2.7,0.2,0.9,0.3,0.2
Alcoholic beverages,0.886,260.652,269.128,270.352,3.7,0.5,0.4,0.8,0.5
Tobacco and smoking products(1),0.520,"1,236.352","1,314.838","1,321.917",6.9,0.5,-0.1,0.6,0.5
Services less energy services,57.233,349.607,363.672,365.938,4.7,0.6,0.4,0.5,0.6
Shelter,32.695,330.122,344.607,346.618,5.0,0.6,0.3,0.5,0.5
Rent of primary residence,7.345,345.717,359.627,361.083,4.4,0.4,0.5,0.6,0.4
Owners' equivalent rent of residences(2),24.035,339.565,353.512,354.968,4.5,0.4,0.4,0.4,0.4
Medical care services,6.932,573.009,586.177,589.652,2.9,0.6,0.6,0.1,0.6
Physicians' services(1),1.864,407.048,407.984,409.998,0.7,0.5,-0.1,-0.1,0.5
Hospital services(3),2.190,361.468,371.745,373.307,3.3,0.4,0.5,-0.1,0.4
Transportation services,5.635,316.345,333.919,340.671,7.7,2.0,1.0,1.4,2.0
Motor vehicle maintenance and repair(1),1.040,314.660,331.130,329.992,4.9,-0.3,0.2,1.7,-0.3
Motor vehicle insurance,2.409,565.166,584.317,589.143,4.2,0.8,0.9,1.2,0.7
Airline fares,0.502,197.134,222.227,243.689,23.6,9.7,2.3,5.2,10.7
