Expenditure category,RelativeimportanceApr.2024,May2023,Apr.2024,May2024,May2023-May2024,Apr.2024-May2024,Feb.2024-Mar.2024,Mar.2024-Apr.2024,Apr.2024-May2024
All items,100.000,304.127,313.548,314.069,3.3,0.2,0.4,0.3,0.0
Food,13.395,322.249,328.678,329.120,2.1,0.1,0.1,0.0,0.1
Food at home,8.061,302.535,305.707,305.679,1.0,0.0,0.0,-0.2,0.0
Cereals and bakery products,1.049,354.195,355.852,356.758,0.7,0.3,-0.9,0.6,0.2
"Meats, poultry, fish, and eggs",1.697,315.968,322.323,323.414,2.4,0.3,0.9,-0.7,0.2
Dairy and related products,0.730,269.573,267.474,266.749,-1.0,-0.3,-0.1,0.1,-0.5
Fruits and vegetables,1.387,350.986,352.274,353.084,0.6,0.2,0.1,-0.8,0.0
Nonalcoholic beverages and beverage materials,1.028,216.460,220.712,219.354,1.3,-0.6,0.3,-0.2,-0.3
Other food at home,2.170,269.999,273.306,272.796,1.0,-0.2,-0.5,0.1,0.0
Food away from home(1),5.334,352.892,365.813,367.099,4.0,0.4,0.3,0.3,0.4
Energy,7.027,279.816,290.760,290.139,3.7,-0.2,1.1,1.1,-2.0
Energy commodities,3.940,319.876,328.797,326.788,2.2,-0.6,1.5,2.7,-3.5
Fuel oil,0.080,355.185,381.962,368.137,3.6,-3.6,-1.3,0.9,-0.4
Motor fuel,3.777,315.310,323.189,321.561,2.0,-0.5,1.6,2.7,-3.6
Gasoline (all types),3.670,314.116,322.434,320.981,2.2,-0.5,1.7,2.8,-3.6
Energy services,3.088,253.204,264.252,265.029,4.7,0.3,0.7,-0.7,-0.2
Electricity,2.442,262.135,276.653,277.584,5.9,0.3,0.9,-0.1,0.0
Utility (piped) gas service,0.646,221.484,221.729,222.024,0.2,0.1,0.0,-2.9,-0.8
All items less food and energy,79.578,308.096,317.978,318.629,3.4,0.2,0.4,0.3,0.2
Commodities less food and energy commodities,18.606,168.499,165.700,165.555,-1.7,-0.1,-0.2,-0.1,0.0
Apparel,2.608,131.382,133.502,132.433,0.8,-0.8,0.7,1.2,-0.3
New vehicles,3.604,179.329,178.250,177.958,-0.8,-0.2,-0.2,-0.4,-0.5
Used cars and trucks,1.902,199.576,180.132,180.971,-9.3,0.5,-1.1,-1.4,0.6
Medical care commodities(1),1.458,403.358,410.743,416.001,3.1,1.3,0.2,0.4,1.3
Alcoholic beverages,0.840,285.285,289.717,290.094,1.7,0.1,0.1,0.1,0.1
Tobacco and smoking products(1),0.538,"1,423.094","1,509.890","1,534.064",7.8,1.6,0.4,0.0,1.6
Services less energy services,60.972,395.295,414.828,416.048,5.3,0.3,0.5,0.4,0.2
Shelter,36.143,378.776,397.539,399.274,5.4,0.4,0.4,0.4,0.4
Rent of primary residence,7.610,396.726,416.386,417.772,5.3,0.3,0.4,0.4,0.4
Owners' equivalent rent of residences(2),26.627,387.323,407.538,409.208,5.7,0.4,0.4,0.4,0.4
Medical care services,6.488,593.738,610.151,611.904,3.1,0.3,0.6,0.4,0.3
Physicians' services(1),1.800,409.885,415.648,415.581,1.4,0.0,0.1,0.1,0.0
Hospital services(1)(3),1.995,389.166,415.025,417.163,7.2,0.5,1.0,0.6,0.5
Transportation services,6.531,393.836,434.629,435.299,10.5,0.2,1.5,0.9,-0.5
Motor vehicle maintenance and repair(1),1.242,378.182,404.380,405.487,7.2,0.3,1.7,0.0,0.3
Motor vehicle insurance,2.939,695.929,839.077,836.941,20.3,-0.3,2.6,1.8,-0.1
Airline fares,0.838,298.489,277.450,280.958,-5.9,1.3,-0.4,-0.8,-3.6
