Expenditure category,RelativeimportanceMay2020,Jun.2019,May2020,Jun.2020,Jun.2019-Jun.2020,May2020-Jun.2020,Mar.2020-Apr.2020,Apr.2020-May2020,May2020-Jun.2020
All items,100.000,256.143,256.394,257.797,0.6,0.5,-0.8,-0.1,0.6
Food,14.259,258.064,268.439,269.770,4.5,0.5,1.5,0.7,0.6
Food at home,7.976,241.407,253.827,255.042,5.6,0.5,2.6,1.0,0.7
Cereals and bakery products,1.021,276.891,284.937,286.092,3.3,0.4,2.9,-0.2,0.4
"Meats, poultry, fish, and eggs",1.836,249.231,275.405,281.139,12.8,2.1,4.3,3.7,2.0
Dairy and related products,0.799,217.433,230.166,228.437,5.1,-0.8,1.5,1.0,-0.4
Fruits and vegetables,1.363,298.611,306.798,305.393,2.3,-0.5,1.5,0.5,0.4
Nonalcoholic beverages and beverage materials,0.949,170.230,178.234,179.190,5.3,0.5,2.9,0.0,0.7
Other food at home,2.007,212.056,218.988,219.311,3.4,0.1,1.9,0.0,0.2
Food away from home(1),6.283,284.316,291.709,293.219,3.1,0.5,0.1,0.4,0.5
Energy,5.777,221.373,183.076,193.379,-12.6,5.6,-10.1,-1.8,5.1
Energy commodities,2.670,246.818,173.138,189.613,-23.2,9.5,-20.0,-3.5,11.7
Fuel oil,0.067,277.244,180.999,194.267,-29.9,7.3,-15.6,-6.3,10.2
Motor fuel,2.545,243.163,169.882,186.494,-23.3,9.8,-20.4,-3.5,12.0
Gasoline (all types),2.481,242.043,168.528,185.422,-23.4,10.0,-20.6,-3.5,12.3
Energy services,3.108,206.219,201.752,206.368,0.1,2.3,0.1,-0.5,-0.2
Electricity,2.436,217.947,211.988,218.191,0.1,2.9,0.1,-0.8,-0.3
Utility (piped) gas service,0.672,168.628,168.316,168.267,-0.2,0.0,0.2,0.8,0.0
All items less food and energy,79.963,263.177,265.799,266.302,1.2,0.2,-0.4,-0.1,0.2
Commodities less food and energy commodities,20.189,144.461,142.964,142.908,-1.1,0.0,-0.7,-0.2,0.2
Apparel,2.709,123.749,114.582,114.734,-7.3,0.1,-4.7,-2.3,1.7
New vehicles,3.768,147.417,147.222,147.108,-0.2,-0.1,0.0,0.3,0.0
Used cars and trucks,2.562,140.823,138.383,136.915,-2.8,-1.1,-0.4,-0.4,-1.2
Medical care commodities,1.633,379.462,384.304,384.259,1.3,0.0,-0.1,0.1,0.2
Alcoholic beverages,1.047,252.538,257.713,258.033,2.2,0.1,0.3,0.8,0.2
Tobacco and smoking products,0.595,"1,109.099","1,156.179","1,165.761",5.1,0.8,-0.4,-0.2,1.1
Services less energy services,59.774,337.197,342.801,343.713,1.9,0.3,-0.4,0.0,0.3
Shelter,33.594,318.300,325.265,325.814,2.4,0.2,0.0,0.2,0.1
Rent of primary residence,7.903,330.648,340.811,341.294,3.2,0.1,0.2,0.3,0.1
Owners' equivalent rent of residences(2),24.383,325.189,334.052,334.424,2.8,0.1,0.2,0.3,0.1
Medical care services,7.385,532.956,562.701,564.754,6.0,0.4,0.5,0.6,0.5
Physicians' services,1.835,382.702,389.329,390.718,2.1,0.4,-0.1,0.7,0.5
Hospital services(3),2.238,335.078,352.287,352.794,5.3,0.1,0.5,0.1,0.4
Transportation services,4.972,326.667,297.882,303.942,-7.0,2.0,-4.7,-3.6,2.1
Motor vehicle maintenance and repair(1),1.101,295.670,305.574,305.736,3.4,0.1,0.1,0.4,0.1
Motor vehicle insurance,1.449,569.079,486.761,511.639,-10.1,5.1,-7.2,-8.9,5.1
Airline fares,0.629,283.001,201.649,206.066,-27.2,2.2,-15.2,-4.9,2.6
