Expenditure category,RelativeimportanceApr.2020,May2019,Apr.2020,May2020,May2019-May2020,Apr.2020-May2020,Feb.2020-Mar.2020,Mar.2020-Apr.2020,Apr.2020-May2020
All items,100.000,256.092,256.389,256.394,0.1,0.0,-0.4,-0.8,-0.1
Food,14.170,258.110,266.757,268.439,4.0,0.6,0.3,1.5,0.7
Food at home,7.910,242.145,251.717,253.827,4.8,0.8,0.5,2.6,1.0
Cereals and bakery products,1.022,277.795,285.160,284.937,2.6,-0.1,0.1,2.9,-0.2
"Meats, poultry, fish, and eggs",1.775,250.356,266.263,275.405,10.0,3.4,0.1,4.3,3.7
Dairy and related products,0.794,217.841,228.755,230.166,5.7,0.6,0.6,1.5,1.0
Fruits and vegetables,1.355,302.352,304.809,306.798,1.5,0.7,0.8,1.5,0.5
Nonalcoholic beverages and beverage materials,0.954,171.260,179.235,178.234,4.1,-0.6,0.9,2.9,0.0
Other food at home,2.010,210.815,219.233,218.988,3.9,-0.1,0.6,1.9,0.0
Food away from home(1),6.260,283.394,290.639,291.709,2.9,0.4,0.2,0.1,0.4
Energy,5.777,225.773,183.081,183.076,-18.9,0.0,-5.8,-10.1,-1.8
Energy commodities,2.683,259.310,174.001,173.138,-33.2,-0.5,-10.4,-20.0,-3.5
Fuel oil,0.072,289.711,194.716,180.999,-37.5,-7.0,-13.7,-15.6,-6.3
Motor fuel,2.552,255.584,170.378,169.882,-33.5,-0.3,-10.4,-20.4,-3.5
Gasoline (all types),2.486,254.551,168.891,168.528,-33.8,-0.2,-10.5,-20.6,-3.5
Energy services,3.095,202.101,200.899,201.752,-0.2,0.4,-0.5,0.1,-0.5
Electricity,2.425,212.326,211.040,211.988,-0.2,0.4,-0.2,0.1,-0.8
Utility (piped) gas service,0.669,168.826,167.751,168.316,-0.3,0.3,-1.4,0.2,0.8
All items less food and energy,80.052,262.590,266.089,265.799,1.2,-0.1,-0.1,-0.4,-0.1
Commodities less food and energy commodities,20.281,144.457,143.613,142.964,-1.0,-0.5,-0.3,-0.7,-0.2
Apparel,2.799,124.429,118.394,114.582,-7.9,-3.2,-2.0,-4.7,-2.3
New vehicles,3.763,147.659,147.007,147.222,-0.3,0.1,-0.4,0.0,0.3
Used cars and trucks,2.581,138.888,139.411,138.383,-0.4,-0.7,0.8,-0.4,-0.4
Medical care commodities,1.631,381.066,383.911,384.304,0.8,0.1,0.0,-0.1,0.1
Alcoholic beverages,1.042,252.101,256.423,257.713,2.2,0.5,0.5,0.3,0.8
Tobacco and smoking products,0.597,"1,108.299","1,159.847","1,156.179",4.3,-0.3,1.0,-0.4,-0.2
Services less energy services,59.771,336.204,342.776,342.801,2.0,0.0,0.0,-0.4,0.0
Shelter,33.518,317.188,324.522,325.265,2.5,0.2,0.0,0.0,0.2
Rent of primary residence,7.887,329.333,340.135,340.811,3.5,0.2,0.3,0.2,0.3
Owners' equivalent rent of residences(2),24.333,324.143,333.358,334.052,3.1,0.2,0.3,0.2,0.3
Medical care services,7.350,531.566,559.994,562.701,5.9,0.5,0.5,0.5,0.6
Physicians' services,1.823,382.436,386.862,389.329,1.8,0.6,0.3,-0.1,0.7
Hospital services(3),2.241,335.966,352.676,352.287,4.9,-0.1,0.4,0.5,0.1
Transportation services,5.128,326.397,307.250,297.882,-8.7,-3.0,-1.9,-4.7,-3.6
Motor vehicle maintenance and repair(1),1.096,294.586,304.376,305.574,3.7,0.4,0.6,0.1,0.4
Motor vehicle insurance,1.592,568.301,534.842,486.761,-14.3,-9.0,0.6,-7.2,-8.9
Airline fares,0.635,283.275,203.342,201.649,-28.8,-0.8,-12.6,-15.2,-4.9
