Expenditure category,RelativeimportanceSep.2020,Oct.2019,Sep.2020,Oct.2020,Oct.2019-Oct.2020,Sep.2020-Oct.2020,Jul.2020-Aug.2020,Aug.2020-Sep.2020,Sep.2020-Oct.2020
All items,100.000,257.346,260.280,260.388,1.2,0.0,0.4,0.2,0.0
Food,14.084,259.632,269.163,269.828,3.9,0.2,0.1,0.0,0.2
Food at home,7.781,242.340,251.369,251.937,4.0,0.2,-0.1,-0.4,0.1
Cereals and bakery products,1.004,276.470,284.416,284.740,3.0,0.1,-0.2,0.0,0.3
"Meats, poultry, fish, and eggs",1.743,250.592,265.386,265.796,6.1,0.2,-1.7,-0.4,0.4
Dairy and related products,0.789,220.738,230.656,229.155,3.8,-0.7,1.5,-0.5,-0.9
Fruits and vegetables,1.341,301.318,306.249,309.071,2.6,0.9,0.2,-0.4,0.1
Nonalcoholic beverages and beverage materials,0.933,170.842,177.848,178.400,4.4,0.3,0.1,-0.8,-0.1
Other food at home,1.972,211.492,218.358,218.758,3.4,0.2,0.5,-0.6,0.3
Food away from home(1),6.304,286.791,297.080,297.893,3.9,0.3,0.3,0.6,0.3
Energy,6.182,216.351,198.858,196.458,-9.2,-1.2,0.9,0.8,0.1
Energy commodities,3.034,240.279,199.741,196.835,-18.1,-1.5,2.0,-0.1,-0.5
Fuel oil,0.073,282.534,201.474,202.805,-28.2,0.7,3.9,-5.3,-0.3
Motor fuel,2.903,236.346,196.756,193.647,-18.1,-1.6,2.0,0.1,-0.6
Gasoline (all types),2.841,235.168,195.888,192.792,-18.0,-1.6,2.0,0.1,-0.5
Energy services,3.148,202.556,207.454,205.445,1.4,-1.0,-0.2,1.6,0.8
Electricity,2.472,212.829,218.395,215.570,1.3,-1.3,-0.2,0.9,1.2
Utility (piped) gas service,0.676,169.138,171.873,172.255,1.8,0.2,-0.2,4.2,-0.7
All items less food and energy,79.734,265.059,269.054,269.328,1.6,0.1,0.4,0.2,0.0
Commodities less food and energy commodities,20.323,144.577,146.096,146.261,1.2,0.1,1.0,0.8,-0.2
Apparel,2.780,126.154,119.354,119.172,-5.5,-0.2,0.6,-0.5,-1.2
New vehicles,3.716,145.726,147.361,147.956,1.5,0.4,0.0,0.3,0.4
Used cars and trucks,2.788,138.407,152.887,154.381,11.5,1.0,5.4,6.7,-0.1
Medical care commodities,1.603,383.498,383.031,380.371,-0.8,-0.7,-0.1,0.0,-0.8
Alcoholic beverages,1.032,253.207,257.730,258.936,2.3,0.5,0.3,-0.2,0.3
Tobacco and smoking products,0.601,"1,134.550","1,183.975","1,186.127",4.5,0.2,0.4,0.4,-0.2
Services less energy services,59.411,340.302,345.880,346.220,1.7,0.1,0.2,0.0,0.1
Shelter,33.281,320.762,327.116,327.273,2.0,0.0,0.1,0.1,0.1
Rent of primary residence,7.833,334.680,342.910,343.615,2.7,0.2,0.1,0.1,0.2
Owners' equivalent rent of residences(2),24.166,328.762,336.095,336.965,2.5,0.3,0.1,0.1,0.2
Medical care services,7.337,545.652,567.525,565.999,3.7,-0.3,0.1,0.0,-0.3
Physicians' services,1.822,384.901,392.474,392.099,1.9,-0.1,0.1,-0.3,0.0
Hospital services(3),2.222,344.363,355.129,354.289,2.9,-0.2,0.1,0.6,-0.6
Transportation services,5.066,326.582,308.143,309.965,-5.1,0.6,0.0,-0.9,0.1
Motor vehicle maintenance and repair(1),1.093,298.925,308.198,308.569,3.2,0.1,0.6,0.2,0.1
Motor vehicle insurance,1.585,571.975,540.491,531.217,-7.1,-1.7,0.5,-3.5,-2.3
Airline fares,0.607,269.871,197.424,215.993,-20.0,9.4,1.2,-2.0,6.3
