Expenditure category,RelativeimportanceNov.2022,Dec.2021,Nov.2022,Dec.2022,Dec.2021-Dec.2022,Nov.2022-Dec.2022,Sep.2022-Oct.2022,Oct.2022-Nov.2022,Nov.2022-Dec.2022
All items,100.000,278.802,297.711,296.797,6.5,-0.3,0.4,0.1,-0.1
Food,13.781,286.966,315.857,316.839,10.4,0.3,0.6,0.5,0.3
Food at home,8.525,267.555,298.284,299.089,11.8,0.3,0.4,0.5,0.2
Cereals and bakery products,1.118,297.279,344.393,345.029,16.1,0.2,0.8,1.1,0.0
"Meats, poultry, fish, and eggs",1.898,297.604,319.444,320.455,7.7,0.3,0.6,-0.2,1.0
Dairy and related products,0.811,235.442,271.307,271.376,15.3,0.0,-0.1,1.0,-0.3
Fruits and vegetables,1.431,321.931,349.462,349.134,8.4,-0.1,-0.9,1.4,-0.6
Nonalcoholic beverages and beverage materials,0.981,186.723,209.507,210.324,12.6,0.4,0.5,0.7,0.1
Other food at home,2.285,230.809,261.583,262.985,13.9,0.5,0.9,-0.1,0.4
Food away from home(1),5.257,317.372,342.266,343.559,8.3,0.4,0.9,0.5,0.4
Energy,7.868,256.207,292.953,274.937,7.3,-6.1,1.8,-1.6,-4.5
Energy commodities,4.308,296.391,339.663,297.625,0.4,-12.4,4.4,-2.0,-9.4
Fuel oil(1),0.183,325.879,553.234,461.140,41.5,-16.6,19.8,1.7,-16.6
Motor fuel,4.052,291.510,329.954,288.979,-0.9,-12.4,4.0,-2.1,-9.2
Gasoline (all types),3.951,290.185,326.649,285.757,-1.5,-12.5,4.0,-2.0,-9.4
Energy services,3.560,228.199,260.220,263.825,15.6,1.4,-1.2,-1.1,1.5
Electricity,2.610,227.974,258.864,260.548,14.3,0.7,0.1,-0.2,1.0
Utility (piped) gas service,0.950,224.366,258.872,267.683,19.3,3.4,-4.6,-3.5,3.0
All items less food and energy,78.350,283.908,299.600,300.113,5.7,0.2,0.3,0.2,0.3
Commodities less food and energy commodities,20.882,160.850,165.291,164.304,2.1,-0.6,-0.4,-0.5,-0.3
Apparel,2.409,121.068,126.728,124.587,2.9,-1.7,-0.7,0.2,0.5
New vehicles,4.068,166.653,176.354,176.463,5.9,0.1,0.4,0.0,-0.1
Used cars and trucks,3.624,207.164,193.530,188.864,-8.8,-2.4,-2.4,-2.9,-2.5
Medical care commodities(1),1.472,379.611,391.360,391.809,3.2,0.1,0.0,0.2,0.1
Alcoholic beverages,0.877,265.410,279.629,280.755,5.8,0.4,0.8,0.7,0.5
Tobacco and smoking products(1),0.520,"1,308.024","1,380.951","1,379.589",5.5,-0.1,0.3,0.7,-0.1
Services less energy services,57.469,359.559,383.179,384.906,7.0,0.5,0.5,0.4,0.5
Shelter,32.929,341.241,364.195,366.868,7.5,0.7,0.8,0.6,0.8
Rent of primary residence,7.447,355.931,382.562,385.649,8.3,0.8,0.7,0.8,0.8
Owners' equivalent rent of residences(2),24.235,350.508,374.040,376.897,7.5,0.8,0.6,0.7,0.8
Medical care services,6.788,578.555,602.333,602.395,4.1,0.0,-0.6,-0.7,0.1
Physicians' services(1),1.807,408.644,415.048,415.611,1.7,0.1,0.0,0.0,0.1
Hospital services(3),2.123,366.854,378.209,383.150,4.4,1.3,,,1.7
Transportation services,6.018,326.063,374.248,373.598,14.6,-0.2,0.8,-0.1,0.2
Motor vehicle maintenance and repair(1),1.087,324.688,363.195,366.960,13.0,1.0,0.7,1.3,1.0
Motor vehicle insurance,2.532,567.875,644.317,648.771,14.2,0.7,1.7,0.9,0.6
Airline fares,0.630,208.954,292.656,268.519,28.5,-8.2,-1.1,-3.0,-3.1
