Expenditure category,RelativeimportanceOct.2022,Nov.2021,Oct.2022,Nov.2022,Nov.2021-Nov.2022,Oct.2022-Nov.2022,Aug.2022-Sep.2022,Sep.2022-Oct.2022,Oct.2022-Nov.2022
All items,100.000,277.948,298.012,297.711,7.1,-0.1,0.4,0.4,0.1
Food,13.744,285.507,315.323,315.857,10.6,0.2,0.8,0.6,0.5
Food at home,8.520,266.384,298.401,298.284,12.0,0.0,0.7,0.4,0.5
Cereals and bakery products,1.107,295.909,341.492,344.393,16.4,0.8,0.9,0.8,1.1
"Meats, poultry, fish, and eggs",1.907,299.228,321.271,319.444,6.8,-0.6,0.4,0.6,-0.2
Dairy and related products,0.805,233.157,269.355,271.307,16.4,0.7,0.3,-0.1,1.0
Fruits and vegetables,1.424,318.436,348.021,349.462,9.7,0.4,1.6,-0.9,1.4
Nonalcoholic beverages and beverage materials,0.983,185.119,210.121,209.507,13.2,-0.3,0.6,0.5,0.7
Other food at home,2.294,229.643,262.814,261.583,13.9,-0.5,0.5,0.9,-0.1
Food away from home(1),5.225,315.481,340.532,342.266,8.5,0.5,0.9,0.9,0.5
Energy,8.059,259.100,300.359,292.953,13.1,-2.5,-2.1,1.8,-1.6
Energy commodities,4.448,302.635,351.065,339.663,12.2,-3.2,-4.7,4.4,-2.0
Fuel oil(1),0.180,333.899,543.915,553.234,65.7,1.7,-2.7,19.8,1.7
Motor fuel,4.195,297.841,341.954,329.954,10.8,-3.5,-4.8,4.0,-2.1
Gasoline (all types),4.096,296.571,339.017,326.649,10.1,-3.6,-4.9,4.0,-2.0
Energy services,3.611,227.874,264.188,260.220,14.2,-1.5,1.1,-1.2,-1.1
Electricity,2.640,227.588,262.100,258.864,13.7,-1.2,0.4,0.1,-0.2
Utility (piped) gas service,0.971,224.225,264.774,258.872,15.5,-2.2,2.9,-4.6,-3.5
All items less food and energy,78.197,282.754,299.315,299.600,6.0,0.1,0.6,0.3,0.2
Commodities less food and energy commodities,21.026,159.426,166.601,165.291,3.7,-0.8,0.0,-0.4,-0.5
Apparel,2.458,122.383,129.414,126.728,3.6,-2.1,-0.3,-0.7,0.2
New vehicles,4.060,164.511,176.157,176.354,7.2,0.1,0.7,0.4,0.0
Used cars and trucks,3.726,200.209,199.176,193.530,-3.3,-2.8,-1.1,-2.4,-2.9
Medical care commodities(1),1.468,379.483,390.614,391.360,3.1,0.2,-0.1,0.0,0.2
Alcoholic beverages,0.871,264.957,278.009,279.629,5.5,0.6,0.0,0.8,0.7
Tobacco and smoking products(1),0.516,"1,298.746","1,371.864","1,380.951",6.3,0.7,0.2,0.3,0.7
Services less energy services,57.171,358.722,381.580,383.179,6.8,0.4,0.8,0.5,0.4
Shelter,32.706,339.997,362.093,364.195,7.1,0.6,0.7,0.8,0.6
Rent of primary residence,7.378,354.526,379.436,382.562,7.9,0.8,0.8,0.7,0.8
Owners' equivalent rent of residences(2),24.043,349.152,371.450,374.040,7.1,0.7,0.8,0.6,0.7
Medical care services,6.832,577.076,606.839,602.333,4.4,-0.7,1.0,-0.6,-0.7
Physicians' services(1),1.805,408.843,414.897,415.048,1.5,0.0,0.5,0.0,0.0
Hospital services(3),2.134,367.479,,378.209,2.9,,0.1,,
Transportation services,5.994,327.749,373.098,374.248,14.2,0.3,1.9,0.8,-0.1
Motor vehicle maintenance and repair(1),1.072,325.076,358.597,363.195,11.7,1.3,1.9,0.7,1.3
Motor vehicle insurance,2.501,568.239,637.103,644.317,13.4,1.1,1.6,1.7,0.9
Airline fares,0.633,215.159,294.340,292.656,36.0,-0.6,0.8,-1.1,-3.0
