Expenditure category,RelativeimportanceJan.2022,Feb.2021,Jan.2022,Feb.2022,Feb.2021-Feb.2022,Jan.2022-Feb.2022,Nov.2021-Dec.2021,Dec.2021-Jan.2022,Jan.2022-Feb.2022
All items,100.000,263.014,281.148,283.716,7.9,0.9,0.6,0.6,0.8
Food,13.388,271.363,289.772,292.794,7.9,1.0,0.5,0.9,1.0
Food at home,8.193,252.716,270.711,274.568,8.6,1.4,0.4,1.0,1.4
Cereals and bakery products,1.039,284.095,302.242,306.193,7.8,1.3,0.3,1.8,1.1
"Meats, poultry, fish, and eggs",1.878,266.606,298.441,301.240,13.0,0.9,0.2,0.3,1.2
Dairy and related products,0.756,230.452,238.675,242.386,5.2,1.6,0.6,1.1,1.9
Fruits and vegetables,1.420,309.993,327.451,333.675,7.6,1.9,0.5,0.9,2.3
Nonalcoholic beverages and beverage materials,0.935,180.202,188.719,192.210,6.7,1.8,0.6,0.0,1.6
Other food at home,2.164,219.110,233.956,237.143,8.2,1.4,0.4,1.6,0.8
Food away from home(1),5.195,300.540,319.471,320.880,6.8,0.4,0.6,0.7,0.4
Energy,7.413,213.277,260.653,267.771,25.6,2.7,0.9,0.9,3.5
Energy commodities,3.995,227.412,297.454,313.522,37.9,5.4,1.3,-0.6,6.7
Fuel oil(1),0.125,267.613,356.864,384.179,43.6,7.7,-2.4,9.5,7.7
Motor fuel,3.794,222.667,291.767,307.422,38.1,5.4,1.4,-0.8,6.7
Gasoline (all types),3.720,221.689,290.416,305.959,38.0,5.4,1.3,-0.8,6.6
Energy services,3.418,209.296,235.941,235.017,12.3,-0.4,0.3,2.9,-0.4
Electricity,2.543,216.998,238.183,236.453,9.0,-0.7,0.5,4.2,-1.1
Utility (piped) gas service,0.875,183.006,225.181,226.491,23.8,0.6,-0.3,-0.5,1.5
All items less food and energy,79.199,270.696,285.996,288.059,6.4,0.7,0.6,0.6,0.5
Commodities less food and energy commodities,21.804,146.532,162.991,164.559,12.3,1.0,1.2,1.0,0.4
Apparel,2.498,119.998,124.079,127.868,6.6,3.1,1.1,1.1,0.7
New vehicles,4.094,149.515,167.582,168.027,12.4,0.3,1.2,0.0,0.3
Used cars and trucks,4.170,150.221,210.293,212.040,41.2,0.8,3.3,1.5,-0.2
Medical care commodities(1),1.525,374.905,382.984,384.304,2.5,0.3,0.0,0.9,0.3
Alcoholic beverages,0.886,260.011,266.749,269.128,3.5,0.9,0.3,0.4,0.8
Tobacco and smoking products(1),0.522,"1,228.750","1,306.913","1,314.838",7.0,0.6,0.7,-0.1,0.6
Services less energy services,57.395,348.361,361.397,363.672,4.4,0.6,0.3,0.4,0.5
Shelter,32.802,329.005,342.604,344.607,4.7,0.6,0.4,0.3,0.5
Rent of primary residence,7.374,345.242,357.737,359.627,4.2,0.5,0.4,0.5,0.6
Owners' equivalent rent of residences(2),24.151,338.918,352.005,353.512,4.3,0.4,0.4,0.4,0.4
Medical care services,6.971,572.378,584.111,586.177,2.4,0.4,0.3,0.6,0.1
Physicians' services(1),1.883,405.897,408.335,407.984,0.5,-0.1,0.0,-0.1,-0.1
Hospital services(3),2.209,359.521,371.646,371.745,3.4,0.0,0.2,0.5,-0.1
Transportation services,5.597,313.160,328.665,333.919,6.6,1.6,0.0,1.0,1.4
Motor vehicle maintenance and repair(1),1.031,311.627,325.448,331.130,6.3,1.7,-0.1,0.2,1.7
Motor vehicle insurance,2.388,560.386,574.042,584.317,4.3,1.8,-0.2,0.9,1.2
Airline fares,0.481,197.204,210.762,222.227,12.7,5.4,2.5,2.3,5.2
