Expenditure category,RelativeimportanceFeb.2023,Mar.2022,Feb.2023,Mar.2023,Mar.2022-Mar.2023,Feb.2023-Mar.2023,Dec.2022-Jan.2023,Jan.2023-Feb.2023,Feb.2023-Mar.2023
All items,100.000,287.504,300.840,301.836,5.0,0.3,0.5,0.4,0.1
Food,13.507,295.728,320.569,320.863,8.5,0.1,0.5,0.4,0.0
Food at home,8.708,278.612,302.483,301.918,8.4,-0.2,0.4,0.3,-0.3
Cereals and bakery products,1.168,311.606,350.772,353.866,13.6,0.9,1.0,0.3,0.6
"Meats, poultry, fish, and eggs",1.830,305.116,321.803,318.306,4.3,-1.1,0.7,-0.1,-1.4
Dairy and related products,0.810,245.258,272.271,271.384,10.7,-0.3,0.0,0.1,-0.1
Fruits and vegetables,1.501,337.503,351.249,345.814,2.5,-1.5,-0.5,0.2,-1.3
Nonalcoholic beverages and beverage materials,1.053,194.342,215.925,216.329,11.3,0.2,0.4,1.0,0.2
Other food at home,2.347,241.804,266.612,268.567,11.1,0.7,0.7,0.3,0.4
Food away from home(1),4.798,321.689,347.869,349.944,8.8,0.6,0.6,0.6,0.6
Energy,6.995,298.246,281.673,279.084,-6.4,-0.9,2.0,-0.6,-3.5
Energy commodities,3.578,375.027,309.280,311.160,-17.0,0.6,1.9,0.5,-4.6
Fuel oil(1),0.135,469.743,419.629,403.040,-14.2,-4.0,-1.2,-7.9,-4.0
Motor fuel,3.379,368.440,302.153,304.575,-17.3,0.8,2.3,0.9,-4.7
Gasoline (all types),3.283,366.499,299.774,302.673,-17.4,1.0,2.4,1.0,-4.6
Energy services,3.417,237.825,266.353,259.647,9.2,-2.5,2.1,-1.7,-2.3
Electricity,2.568,240.558,266.887,265.033,10.2,-0.7,0.5,0.5,-0.7
Utility (piped) gas service,0.849,225.679,258.976,238.182,5.5,-8.0,6.7,-8.0,-7.1
All items less food and energy,79.498,289.305,304.011,305.476,5.6,0.5,0.4,0.5,0.4
Commodities less food and energy commodities,21.323,164.449,166.246,166.961,1.5,0.4,0.1,0.0,0.2
Apparel,2.592,128.919,132.039,133.112,3.3,0.8,0.8,0.8,0.3
New vehicles,4.288,168.056,177.817,178.342,6.1,0.3,0.2,0.2,0.4
Used cars and trucks,2.554,208.216,183.241,184.997,-11.2,1.0,-1.9,-2.8,-0.9
Medical care commodities(1),1.453,385.084,396.560,398.917,3.6,0.6,1.1,0.1,0.6
Alcoholic beverages,0.838,270.352,282.377,282.588,4.5,0.1,0.4,-0.3,0.1
Tobacco and smoking products(1),0.496,"1,321.917","1,402.834","1,413.380",6.9,0.8,0.7,1.0,0.8
Services less energy services,58.175,365.938,390.070,392.024,7.1,0.5,0.5,0.6,0.4
Shelter,34.473,346.618,372.510,374.971,8.2,0.7,0.7,0.8,0.6
Rent of primary residence,7.533,361.083,391.141,392.910,8.8,0.5,0.7,0.8,0.5
Owners' equivalent rent of residences(2),25.411,354.968,381.844,383.502,8.0,0.4,0.7,0.7,0.5
Medical care services,6.525,589.652,598.778,595.745,1.0,-0.5,-0.7,-0.7,-0.5
Physicians' services(1),1.819,409.998,413.034,412.119,0.5,-0.2,-0.1,-0.5,-0.2
Hospital services(1)(3),1.923,373.307,384.996,383.420,2.7,-0.4,0.5,0.0,-0.4
Transportation services,5.812,340.671,382.801,387.966,13.9,1.3,0.9,1.1,1.4
Motor vehicle maintenance and repair(1),1.106,329.992,372.572,373.865,13.3,0.3,1.3,0.2,0.3
Motor vehicle insurance,2.554,589.143,668.806,677.445,15.0,1.3,1.4,0.9,1.2
Airline fares,0.606,243.689,281.216,286.814,17.7,2.0,-2.1,6.4,4.0
