Expenditure category,RelativeimportanceApr.2023,May2022,Apr.2023,May2023,May2022-May2023,Apr.2023-May2023,Feb.2023-Mar.2023,Mar.2023-Apr.2023,Apr.2023-May2023
All items,100.000,292.296,303.363,304.127,4.0,0.3,0.1,0.4,0.1
Food,13.436,302.038,321.566,322.249,6.7,0.2,0.0,0.0,0.2
Food at home,8.632,285.953,302.328,302.535,5.8,0.1,-0.3,-0.2,0.1
Cereals and bakery products,1.168,319.930,353.742,354.195,10.7,0.1,0.6,0.2,0.0
"Meats, poultry, fish, and eggs",1.799,314.929,318.996,315.968,0.3,-0.9,-1.4,-0.3,-1.2
Dairy and related products,0.799,257.678,271.102,269.573,4.6,-0.6,-0.1,-0.7,-1.1
Fruits and vegetables,1.467,341.594,346.269,350.986,2.7,1.4,-1.3,-0.5,1.3
Nonalcoholic beverages and beverage materials,1.043,199.166,215.833,216.460,8.7,0.3,0.2,-0.1,0.7
Other food at home,2.354,247.300,269.657,269.999,9.2,0.1,0.4,0.2,0.4
Food away from home(1),4.804,325.952,351.237,352.892,8.3,0.5,0.6,0.4,0.5
Energy,6.978,316.761,283.352,279.816,-11.7,-1.2,-3.5,0.6,-3.6
Energy commodities,3.732,402.040,325.269,319.876,-20.4,-1.7,-4.6,2.7,-5.6
Fuel oil(1),0.123,564.147,384.903,355.185,-37.0,-7.7,-4.0,-4.5,-7.7
Motor fuel,3.547,393.950,319.843,315.310,-20.0,-1.4,-4.7,2.8,-5.6
Gasoline (all types),3.459,391.262,318.482,314.116,-19.7,-1.4,-4.6,3.0,-5.6
Energy services,3.247,249.129,255.185,253.204,1.6,-0.8,-2.3,-1.7,-1.4
Electricity,2.511,247.461,263.216,262.135,5.9,-0.4,-0.7,-0.7,-1.0
Utility (piped) gas service,0.735,248.854,226.062,221.484,-11.0,-2.0,-7.1,-4.9,-2.6
All items less food and energy,79.586,292.506,306.899,308.096,5.3,0.4,0.4,0.4,0.4
Commodities less food and energy commodities,21.347,165.140,167.833,168.499,2.0,0.4,0.2,0.6,0.6
Apparel,2.565,126.970,131.762,131.382,3.5,-0.3,0.3,0.3,0.3
New vehicles,4.278,171.350,178.892,179.329,4.7,0.2,0.4,-0.2,-0.1
Used cars and trucks,2.673,208.373,193.394,199.576,-4.2,3.2,-0.9,4.4,4.4
Medical care commodities(1),1.456,386.273,400.755,403.358,4.4,0.6,0.6,0.5,0.6
Alcoholic beverages,0.836,272.293,283.961,285.285,4.8,0.5,0.1,0.5,0.5
Tobacco and smoking products(1),0.496,"1,338.572","1,414.924","1,423.094",6.3,0.6,0.8,0.1,0.6
Services less energy services,58.238,370.937,393.769,395.295,6.6,0.4,0.4,0.4,0.4
Shelter,34.564,350.580,376.636,378.776,8.0,0.6,0.6,0.4,0.6
Rent of primary residence,7.542,365.116,394.898,396.726,8.7,0.5,0.5,0.6,0.5
Owners' equivalent rent of residences(2),25.432,358.469,385.366,387.323,8.0,0.5,0.5,0.5,0.5
Medical care services,6.423,594.243,594.346,593.738,-0.1,-0.1,-0.5,-0.1,-0.1
Physicians' services(1),1.799,410.249,411.951,409.885,-0.1,-0.5,-0.2,0.0,-0.5
Hospital services(1)(3),1.909,375.273,385.355,389.166,3.7,1.0,-0.4,0.5,1.0
Transportation services,5.884,357.437,390.805,393.836,10.2,0.8,1.4,-0.2,0.8
Motor vehicle maintenance and repair(1),1.106,333.258,375.890,378.182,13.5,0.6,0.3,0.5,0.6
Motor vehicle insurance,2.591,594.437,684.166,695.929,17.1,1.7,1.2,1.4,2.0
Airline fares,0.630,344.853,294.550,298.489,-13.4,1.3,4.0,-2.6,-3.0
