Expenditure category,RelativeimportanceAug.2023,Sep.2022,Aug.2023,Sep.2023,Sep.2022-Sep.2023,Aug.2023-Sep.2023,Jun.2023-Jul.2023,Jul.2023-Aug.2023,Aug.2023-Sep.2023
All items,100.000,296.808,307.026,307.789,3.7,0.2,0.2,0.6,0.4
Food,13.380,313.142,324.100,324.704,3.7,0.2,0.2,0.2,0.2
Food at home,8.568,296.771,303.716,303.925,2.4,0.1,0.3,0.2,0.1
Cereals and bakery products,1.163,339.336,356.563,355.576,4.8,-0.3,0.0,0.5,-0.4
"Meats, poultry, fish, and eggs",1.777,319.486,318.944,320.140,0.2,0.4,0.5,0.8,0.5
Dairy and related products,0.782,268.793,268.281,268.377,-0.2,0.0,0.5,-0.4,0.1
Fruits and vegetables,1.467,348.173,350.428,351.020,0.8,0.2,0.4,-0.2,0.0
Nonalcoholic beverages and beverage materials,1.035,208.332,216.642,216.736,4.0,0.0,0.0,-0.2,0.0
Other food at home,2.343,260.580,271.648,271.561,4.2,0.0,0.2,0.2,0.3
Food away from home(1),4.813,337.369,356.083,357.488,6.0,0.4,0.2,0.3,0.4
Energy,7.162,297.343,294.328,296.004,-0.5,0.6,0.1,5.6,1.5
Energy commodities,3.888,338.768,342.996,346.212,2.2,0.9,0.3,10.5,2.3
Fuel oil(1),0.125,454.177,397.444,431.201,-5.1,8.5,3.0,9.1,8.5
Motor fuel,3.705,331.772,338.207,340.600,2.7,0.7,0.2,10.7,2.2
Gasoline (all types),3.616,328.918,336.979,338.893,3.0,0.6,0.2,10.6,2.1
Energy services,3.274,269.667,260.448,260.791,-3.3,0.1,-0.1,0.2,0.6
Electricity,2.552,265.487,270.752,272.401,2.6,0.6,-0.7,0.2,1.3
Utility (piped) gas service,0.722,275.894,224.539,221.045,-19.9,-1.6,2.0,0.1,-1.9
All items less food and energy,79.457,298.442,310.103,310.817,4.1,0.2,0.2,0.3,0.3
Commodities less food and energy commodities,21.117,167.104,168.029,167.141,0.0,-0.5,-0.3,-0.1,-0.4
Apparel,2.525,130.143,131.262,133.157,2.3,1.4,0.0,0.2,-0.8
New vehicles,4.246,175.312,179.691,179.750,2.5,0.0,-0.1,0.3,0.3
Used cars and trucks,2.715,203.867,198.768,187.587,-8.0,-5.6,-1.3,-1.2,-2.5
Medical care commodities(1),1.466,390.677,408.437,407.250,4.2,-0.3,0.5,0.6,-0.3
Alcoholic beverages,0.832,275.810,285.859,287.496,4.2,0.6,0.1,0.0,0.8
Tobacco and smoking products(1),0.499,"1,367.458","1,440.574","1,443.712",5.6,0.2,0.5,0.6,0.2
Services less energy services,58.340,379.634,399.219,401.234,5.7,0.5,0.4,0.4,0.6
Shelter,34.749,359.704,383.221,385.433,7.2,0.6,0.4,0.3,0.6
Rent of primary residence,7.590,376.569,402.247,404.487,7.4,0.6,0.4,0.5,0.5
Owners' equivalent rent of residences(2),25.613,368.932,392.794,395.039,7.1,0.6,0.5,0.4,0.6
Medical care services,6.331,609.852,592.913,593.777,-2.6,0.1,-0.4,0.1,0.3
Physicians' services(1),1.786,414.767,413.877,413.966,-0.2,0.0,0.2,0.1,0.0
Hospital services(1)(3),1.917,380.465,391.678,397.531,4.5,1.5,-0.4,0.7,1.5
Transportation services,5.951,368.643,400.016,402.021,9.1,0.5,0.3,2.0,0.7
Motor vehicle maintenance and repair(1),1.138,356.076,391.395,392.222,10.2,0.2,1.0,1.1,0.2
Motor vehicle insurance,2.743,624.558,733.141,742.292,18.9,1.2,2.0,2.4,1.3
Airline fares,0.520,284.313,246.185,246.151,-13.4,0.0,-8.1,4.9,0.3
