Expenditure category,RelativeimportanceFeb.2024,Mar.2023,Feb.2024,Mar.2024,Mar.2023-Mar.2024,Feb.2024-Mar.2024,Dec.2023-Jan.2024,Jan.2024-Feb.2024,Feb.2024-Mar.2024
All items,100.000,301.836,310.326,312.332,3.5,0.6,0.3,0.4,0.4
Food,13.495,320.863,327.731,328.043,2.2,0.1,0.4,0.0,0.1
Food at home,8.138,301.918,305.469,305.426,1.2,0.0,0.4,0.0,0.0
Cereals and bakery products,1.062,353.866,356.633,354.666,0.2,-0.6,-0.2,0.5,-0.9
"Meats, poultry, fish, and eggs",1.702,318.306,320.096,322.589,1.3,0.8,0.0,0.1,0.9
Dairy and related products,0.738,271.384,267.334,266.274,-1.9,-0.4,0.2,-0.6,-0.1
Fruits and vegetables,1.409,345.814,353.965,352.841,2.0,-0.3,0.4,-0.2,0.1
Nonalcoholic beverages and beverage materials,1.040,216.329,220.956,221.423,2.4,0.2,1.2,-0.2,0.3
Other food at home,2.188,268.567,272.768,272.352,1.4,-0.2,0.6,0.0,-0.5
Food away from home(1),5.356,349.944,363.596,364.546,4.2,0.3,0.5,0.1,0.3
Energy,6.748,279.084,276.331,285.002,2.1,3.1,-0.9,2.3,1.1
Energy commodities,3.588,311.160,296.368,313.861,0.9,5.9,-3.2,3.6,1.5
Fuel oil,0.084,403.040,396.859,388.191,-3.7,-2.2,-4.5,1.1,-1.3
Motor fuel,3.419,304.575,289.546,307.684,1.0,6.3,-3.3,3.7,1.6
Gasoline (all types),3.312,302.673,287.943,306.513,1.3,6.4,-3.3,3.8,1.7
Energy services,3.160,259.647,267.662,267.658,3.1,0.0,1.4,0.8,0.7
Electricity,2.464,265.033,276.384,278.233,5.0,0.7,1.2,0.3,0.9
Utility (piped) gas service,0.695,238.182,236.218,230.601,-3.2,-2.4,2.0,2.3,0.0
All items less food and energy,79.758,305.476,315.419,317.088,3.8,0.5,0.4,0.4,0.4
Commodities less food and energy commodities,18.805,166.961,165.752,165.875,-0.7,0.1,-0.3,0.1,-0.2
Apparel,2.605,133.112,131.985,133.640,0.4,1.3,-0.7,0.6,0.7
New vehicles,3.648,178.342,178.592,178.247,-0.1,-0.2,0.0,-0.1,-0.2
Used cars and trucks,1.921,184.997,180.006,180.891,-2.2,0.5,-3.4,0.5,-1.1
Medical care commodities(1),1.464,398.917,408.246,408.919,2.5,0.2,-0.6,0.1,0.2
Alcoholic beverages,0.848,282.588,289.220,289.360,2.4,0.0,0.3,0.0,0.1
Tobacco and smoking products(1),0.541,"1,413.380","1,502.976","1,509.166",6.8,0.4,0.3,0.8,0.4
Services less energy services,60.953,392.024,410.432,413.179,5.4,0.7,0.7,0.5,0.5
Shelter,36.184,374.971,393.906,396.174,5.7,0.6,0.6,0.4,0.4
Rent of primary residence,7.639,392.910,413.695,415.219,5.7,0.4,0.4,0.5,0.4
Owners' equivalent rent of residences(2),26.713,383.502,404.656,406.155,5.9,0.4,0.6,0.4,0.4
Medical care services,6.501,595.745,605.162,608.528,2.1,0.6,0.7,-0.1,0.6
Physicians' services(1),1.814,412.119,414.702,415.118,0.7,0.1,0.6,-0.2,0.1
Hospital services(1)(3),1.983,383.420,408.345,412.365,7.5,1.0,1.6,-0.6,1.0
Transportation services,6.390,387.966,420.850,429.591,10.7,2.1,1.0,1.4,1.5
Motor vehicle maintenance and repair(1),1.234,373.865,397.541,404.475,8.2,1.7,0.8,0.4,1.7
Motor vehicle insurance,2.854,677.445,806.444,827.852,22.2,2.7,1.4,0.9,2.6
Airline fares,0.806,286.814,263.952,266.481,-7.1,1.0,1.4,3.6,-0.4
